checklist_id,role_id,role_name,section,item,importance,description,common_mistakes,ats_required,fresher_required,experienced_required,example
RC151,ROLE042,ERP Consultant,GitHub,Updated GitHub profile,High,Ensure the resume includes updated github profile tailored for AI Engineer positions.,Too generic,Yes,Yes,No,Strong updated github profile with measurable impact.
RC152,ROLE016,iOS Developer,GitHub,Updated GitHub profile,High,Ensure the resume includes updated github profile tailored for Backend Developer positions.,Too generic,Yes,Yes,Yes,Strong updated github profile with measurable impact.
RC153,ROLE024,Robotics Engineer,LinkedIn,Optimized LinkedIn profile,Critical,Ensure the resume includes optimized linkedin profile tailored for ML Engineer positions.,Poor formatting,No,Yes,No,Strong optimized linkedin profile with measurable impact.
RC154,ROLE041,SAP Consultant,LinkedIn,Optimized LinkedIn profile,Medium,Ensure the resume includes optimized linkedin profile tailored for Backend Developer positions.,Too generic,No,Yes,No,Strong optimized linkedin profile with measurable impact.
RC155,ROLE036,Prompt Engineer,LinkedIn,Optimized LinkedIn profile,High,Ensure the resume includes optimized linkedin profile tailored for Software Engineer positions.,Missing details,No,Yes,Yes,Strong optimized linkedin profile with measurable impact.
RC156,ROLE040,AR/VR Developer,LinkedIn,Optimized LinkedIn profile,Medium,Ensure the resume includes optimized linkedin profile tailored for Full Stack Developer positions.,Poor formatting,Yes,Yes,Yes,Strong optimized linkedin profile with measurable impact.
RC157,ROLE007,Frontend Developer,LinkedIn,Optimized LinkedIn profile,Critical,Ensure the resume includes optimized linkedin profile tailored for DevOps Engineer positions.,Outdated information,Yes,Yes,No,Strong optimized linkedin profile with measurable impact.
RC158,ROLE029,Technical Support Engineer,LinkedIn,Optimized LinkedIn profile,High,Ensure the resume includes optimized linkedin profile tailored for Full Stack Developer positions.,Outdated information,Yes,Yes,Yes,Strong optimized linkedin profile with measurable impact.
RC159,ROLE014,Ethical Hacker,LinkedIn,Optimized LinkedIn profile,High,Ensure the resume includes optimized linkedin profile tailored for AI Engineer positions.,Too generic,No,Yes,No,Strong optimized linkedin profile with measurable impact.
RC160,ROLE052,Automation Engineer,LinkedIn,Optimized LinkedIn profile,Critical,Ensure the resume includes optimized linkedin profile tailored for Cybersecurity Analyst positions.,Missing details,No,Yes,Yes,Strong optimized linkedin profile with measurable impact.
RC161,ROLE053,Firmware Engineer,Resume Formatting,One-page resume,Medium,Ensure the resume includes one-page resume tailored for Cloud Engineer positions.,Too generic,No,Yes,No,Strong one-page resume with measurable impact.
RC162,ROLE060,Web Developer,Resume Formatting,One-page resume,Medium,Ensure the resume includes one-page resume tailored for Data Scientist positions.,Outdated information,Yes,Yes,No,Strong one-page resume with measurable impact.
RC163,ROLE034,Solutions Architect,Resume Formatting,One-page resume,Medium,Ensure the resume includes one-page resume tailored for ML Engineer positions.,Outdated information,Yes,Yes,No,Strong one-page resume with measurable impact.
RC164,ROLE051,Systems Administrator,Resume Formatting,One-page resume,Critical,Ensure the resume includes one-page resume tailored for AI Engineer positions.,Poor formatting,Yes,Yes,Yes,Strong one-page resume with measurable impact.
RC165,ROLE015,Android Developer,Resume Formatting,One-page resume,Medium,Ensure the resume includes one-page resume tailored for Business Analyst positions.,Missing details,No,Yes,No,Strong one-page resume with measurable impact.
RC166,ROLE060,Web Developer,Resume Formatting,One-page resume,High,Ensure the resume includes one-page resume tailored for Data Scientist positions.,Too generic,No,Yes,Yes,Strong one-page resume with measurable impact.
RC167,ROLE032,Site Reliability Engineer,Resume Formatting,One-page resume,Critical,Ensure the resume includes one-page resume tailored for ML Engineer positions.,Outdated information,No,Yes,No,Strong one-page resume with measurable impact.
RC168,ROLE001,Data Scientist,Resume Formatting,One-page resume,High,Ensure the resume includes one-page resume tailored for Business Analyst positions.,Poor formatting,Yes,Yes,No,Strong one-page resume with measurable impact.
RC169,ROLE044,SEO Analyst,Resume Formatting,ATS-friendly layout,Medium,Ensure the resume includes ats-friendly layout tailored for Software Engineer positions.,Poor formatting,No,Yes,Yes,Strong ats-friendly layout with measurable impact.
RC170,ROLE039,Computer Vision Engineer,Resume Formatting,ATS-friendly layout,High,Ensure the resume includes ats-friendly layout tailored for Cybersecurity Analyst positions.,Poor formatting,No,Yes,No,Strong ats-friendly layout with measurable impact.
RC171,ROLE021,Blockchain Developer,Resume Formatting,ATS-friendly layout,High,Ensure the resume includes ats-friendly layout tailored for Cloud Engineer positions.,Outdated information,Yes,Yes,Yes,Strong ats-friendly layout with measurable impact.
RC172,ROLE022,IoT Engineer,Resume Formatting,ATS-friendly layout,Critical,Ensure the resume includes ats-friendly layout tailored for Software Engineer positions.,Poor formatting,Yes,Yes,Yes,Strong ats-friendly layout with measurable impact.
RC173,ROLE028,Product Manager,Resume Formatting,ATS-friendly layout,Critical,Ensure the resume includes ats-friendly layout tailored for AI Engineer positions.,Poor formatting,Yes,Yes,Yes,Strong ats-friendly layout with measurable impact.
RC174,ROLE012,Cyber Security Analyst,Resume Formatting,ATS-friendly layout,Medium,Ensure the resume includes ats-friendly layout tailored for Software Engineer positions.,Poor formatting,Yes,Yes,No,Strong ats-friendly layout with measurable impact.
RC175,ROLE014,Ethical Hacker,Resume Formatting,ATS-friendly layout,Critical,Ensure the resume includes ats-friendly layout tailored for Cybersecurity Analyst positions.,Poor formatting,No,Yes,Yes,Strong ats-friendly layout with measurable impact.
RC176,ROLE003,AI Engineer,Resume Formatting,ATS-friendly layout,Critical,Ensure the resume includes ats-friendly layout tailored for Cloud Engineer positions.,Missing details,No,Yes,Yes,Strong ats-friendly layout with measurable impact.
