resource_id,resource_name,resource_type,platform,topic,difficulty,language,duration,free_paid,skill_id,role_id,url
RES0201,Learning Resource 201,Book,O'Reilly,Skill SK201,Advanced,English,4 Hours,Free,SK201,ROLE021,https://example.com/resource/201
RES0202,Learning Resource 202,YouTube,YouTube,Skill SK202,Beginner,English,5 Hours,Paid,SK202,ROLE022,https://example.com/resource/202
RES0203,Learning Resource 203,Documentation,MDN,Skill SK203,Intermediate,English,6 Hours,Free,SK203,ROLE023,https://example.com/resource/203
RES0204,Learning Resource 204,Blog,Medium,Skill SK204,Advanced,English,7 Hours,Paid,SK204,ROLE024,https://example.com/resource/204
RES0205,Learning Resource 205,GitHub,GitHub,Skill SK205,Beginner,English,8 Hours,Free,SK205,ROLE025,https://example.com/resource/205
RES0206,Learning Resource 206,Research Paper,arXiv,Skill SK206,Intermediate,English,9 Hours,Paid,SK206,ROLE026,https://example.com/resource/206
RES0207,Learning Resource 207,Course,Coursera,Skill SK207,Advanced,English,10 Hours,Free,SK207,ROLE027,https://example.com/resource/207
RES0208,Learning Resource 208,Cheat Sheet,freeCodeCamp,Skill SK208,Beginner,English,11 Hours,Paid,SK208,ROLE028,https://example.com/resource/208
RES0209,Learning Resource 209,Book,O'Reilly,Skill SK209,Intermediate,English,12 Hours,Free,SK209,ROLE029,https://example.com/resource/209
RES0210,Learning Resource 210,YouTube,YouTube,Skill SK210,Advanced,English,13 Hours,Paid,SK210,ROLE030,https://example.com/resource/210
RES0211,Learning Resource 211,Documentation,MDN,Skill SK211,Beginner,English,14 Hours,Free,SK211,ROLE031,https://example.com/resource/211
RES0212,Learning Resource 212,Blog,Medium,Skill SK212,Intermediate,English,15 Hours,Paid,SK212,ROLE032,https://example.com/resource/212
RES0213,Learning Resource 213,GitHub,GitHub,Skill SK213,Advanced,English,16 Hours,Free,SK213,ROLE033,https://example.com/resource/213
RES0214,Learning Resource 214,Research Paper,arXiv,Skill SK214,Beginner,English,17 Hours,Paid,SK214,ROLE034,https://example.com/resource/214
RES0215,Learning Resource 215,Course,Coursera,Skill SK215,Intermediate,English,18 Hours,Free,SK215,ROLE035,https://example.com/resource/215
RES0216,Learning Resource 216,Cheat Sheet,freeCodeCamp,Skill SK216,Advanced,English,19 Hours,Paid,SK216,ROLE036,https://example.com/resource/216
RES0217,Learning Resource 217,Book,O'Reilly,Skill SK217,Beginner,English,2 Hours,Free,SK217,ROLE037,https://example.com/resource/217
RES0218,Learning Resource 218,YouTube,YouTube,Skill SK218,Intermediate,English,3 Hours,Paid,SK218,ROLE038,https://example.com/resource/218
RES0219,Learning Resource 219,Documentation,MDN,Skill SK219,Advanced,English,4 Hours,Free,SK219,ROLE039,https://example.com/resource/219
RES0220,Learning Resource 220,Blog,Medium,Skill SK220,Beginner,English,5 Hours,Paid,SK220,ROLE040,https://example.com/resource/220
RES0221,Learning Resource 221,GitHub,GitHub,Skill SK221,Intermediate,English,6 Hours,Free,SK221,ROLE041,https://example.com/resource/221
RES0222,Learning Resource 222,Research Paper,arXiv,Skill SK222,Advanced,English,7 Hours,Paid,SK222,ROLE042,https://example.com/resource/222
RES0223,Learning Resource 223,Course,Coursera,Skill SK223,Beginner,English,8 Hours,Free,SK223,ROLE043,https://example.com/resource/223
RES0224,Learning Resource 224,Cheat Sheet,freeCodeCamp,Skill SK224,Intermediate,English,9 Hours,Paid,SK224,ROLE044,https://example.com/resource/224
RES0225,Learning Resource 225,Book,O'Reilly,Skill SK225,Advanced,English,10 Hours,Free,SK225,ROLE045,https://example.com/resource/225
RES0226,Learning Resource 226,YouTube,YouTube,Skill SK226,Beginner,English,11 Hours,Paid,SK226,ROLE046,https://example.com/resource/226
RES0227,Learning Resource 227,Documentation,MDN,Skill SK227,Intermediate,English,12 Hours,Free,SK227,ROLE047,https://example.com/resource/227
RES0228,Learning Resource 228,Blog,Medium,Skill SK228,Advanced,English,13 Hours,Paid,SK228,ROLE048,https://example.com/resource/228
RES0229,Learning Resource 229,GitHub,GitHub,Skill SK229,Beginner,English,14 Hours,Free,SK229,ROLE049,https://example.com/resource/229
RES0230,Learning Resource 230,Research Paper,arXiv,Skill SK230,Intermediate,English,15 Hours,Paid,SK230,ROLE050,https://example.com/resource/230
RES0231,Learning Resource 231,Course,Coursera,Skill SK231,Advanced,English,16 Hours,Free,SK231,ROLE051,https://example.com/resource/231
RES0232,Learning Resource 232,Cheat Sheet,freeCodeCamp,Skill SK232,Beginner,English,17 Hours,Paid,SK232,ROLE052,https://example.com/resource/232
RES0233,Learning Resource 233,Book,O'Reilly,Skill SK233,Intermediate,English,18 Hours,Free,SK233,ROLE053,https://example.com/resource/233
RES0234,Learning Resource 234,YouTube,YouTube,Skill SK234,Advanced,English,19 Hours,Paid,SK234,ROLE054,https://example.com/resource/234
RES0235,Learning Resource 235,Documentation,MDN,Skill SK235,Beginner,English,2 Hours,Free,SK235,ROLE055,https://example.com/resource/235
RES0236,Learning Resource 236,Blog,Medium,Skill SK236,Intermediate,English,3 Hours,Paid,SK236,ROLE056,https://example.com/resource/236
RES0237,Learning Resource 237,GitHub,GitHub,Skill SK237,Advanced,English,4 Hours,Free,SK237,ROLE057,https://example.com/resource/237
RES0238,Learning Resource 238,Research Paper,arXiv,Skill SK238,Beginner,English,5 Hours,Paid,SK238,ROLE058,https://example.com/resource/238
RES0239,Learning Resource 239,Course,Coursera,Skill SK239,Intermediate,English,6 Hours,Free,SK239,ROLE059,https://example.com/resource/239
RES0240,Learning Resource 240,Cheat Sheet,freeCodeCamp,Skill SK240,Advanced,English,7 Hours,Paid,SK240,ROLE060,https://example.com/resource/240
RES0241,Learning Resource 241,Book,O'Reilly,Skill SK241,Beginner,English,8 Hours,Free,SK241,ROLE001,https://example.com/resource/241
RES0242,Learning Resource 242,YouTube,YouTube,Skill SK242,Intermediate,English,9 Hours,Paid,SK242,ROLE002,https://example.com/resource/242
RES0243,Learning Resource 243,Documentation,MDN,Skill SK243,Advanced,English,10 Hours,Free,SK243,ROLE003,https://example.com/resource/243
RES0244,Learning Resource 244,Blog,Medium,Skill SK244,Beginner,English,11 Hours,Paid,SK244,ROLE004,https://example.com/resource/244
RES0245,Learning Resource 245,GitHub,GitHub,Skill SK245,Intermediate,English,12 Hours,Free,SK245,ROLE005,https://example.com/resource/245
RES0246,Learning Resource 246,Research Paper,arXiv,Skill SK246,Advanced,English,13 Hours,Paid,SK246,ROLE006,https://example.com/resource/246
RES0247,Learning Resource 247,Course,Coursera,Skill SK247,Beginner,English,14 Hours,Free,SK247,ROLE007,https://example.com/resource/247
RES0248,Learning Resource 248,Cheat Sheet,freeCodeCamp,Skill SK248,Intermediate,English,15 Hours,Paid,SK248,ROLE008,https://example.com/resource/248
RES0249,Learning Resource 249,Book,O'Reilly,Skill SK249,Advanced,English,16 Hours,Free,SK249,ROLE009,https://example.com/resource/249
RES0250,Learning Resource 250,YouTube,YouTube,Skill SK250,Beginner,English,17 Hours,Paid,SK250,ROLE010,https://example.com/resource/250
RES0251,Learning Resource 251,Documentation,MDN,Skill SK251,Intermediate,English,18 Hours,Free,SK251,ROLE011,https://example.com/resource/251
RES0252,Learning Resource 252,Blog,Medium,Skill SK252,Advanced,English,19 Hours,Paid,SK252,ROLE012,https://example.com/resource/252
RES0253,Learning Resource 253,GitHub,GitHub,Skill SK253,Beginner,English,2 Hours,Free,SK253,ROLE013,https://example.com/resource/253
RES0254,Learning Resource 254,Research Paper,arXiv,Skill SK254,Intermediate,English,3 Hours,Paid,SK254,ROLE014,https://example.com/resource/254
RES0255,Learning Resource 255,Course,Coursera,Skill SK255,Advanced,English,4 Hours,Free,SK255,ROLE015,https://example.com/resource/255
RES0256,Learning Resource 256,Cheat Sheet,freeCodeCamp,Skill SK256,Beginner,English,5 Hours,Paid,SK256,ROLE016,https://example.com/resource/256
RES0257,Learning Resource 257,Book,O'Reilly,Skill SK257,Intermediate,English,6 Hours,Free,SK257,ROLE017,https://example.com/resource/257
RES0258,Learning Resource 258,YouTube,YouTube,Skill SK258,Advanced,English,7 Hours,Paid,SK258,ROLE018,https://example.com/resource/258
RES0259,Learning Resource 259,Documentation,MDN,Skill SK259,Beginner,English,8 Hours,Free,SK259,ROLE019,https://example.com/resource/259
RES0260,Learning Resource 260,Blog,Medium,Skill SK260,Intermediate,English,9 Hours,Paid,SK260,ROLE020,https://example.com/resource/260
RES0261,Learning Resource 261,GitHub,GitHub,Skill SK261,Advanced,English,10 Hours,Free,SK261,ROLE021,https://example.com/resource/261
RES0262,Learning Resource 262,Research Paper,arXiv,Skill SK262,Beginner,English,11 Hours,Paid,SK262,ROLE022,https://example.com/resource/262
RES0263,Learning Resource 263,Course,Coursera,Skill SK263,Intermediate,English,12 Hours,Free,SK263,ROLE023,https://example.com/resource/263
RES0264,Learning Resource 264,Cheat Sheet,freeCodeCamp,Skill SK264,Advanced,English,13 Hours,Paid,SK264,ROLE024,https://example.com/resource/264
RES0265,Learning Resource 265,Book,O'Reilly,Skill SK265,Beginner,English,14 Hours,Free,SK265,ROLE025,https://example.com/resource/265
RES0266,Learning Resource 266,YouTube,YouTube,Skill SK266,Intermediate,English,15 Hours,Paid,SK266,ROLE026,https://example.com/resource/266
RES0267,Learning Resource 267,Documentation,MDN,Skill SK267,Advanced,English,16 Hours,Free,SK267,ROLE027,https://example.com/resource/267
RES0268,Learning Resource 268,Blog,Medium,Skill SK268,Beginner,English,17 Hours,Paid,SK268,ROLE028,https://example.com/resource/268
RES0269,Learning Resource 269,GitHub,GitHub,Skill SK269,Intermediate,English,18 Hours,Free,SK269,ROLE029,https://example.com/resource/269
RES0270,Learning Resource 270,Research Paper,arXiv,Skill SK270,Advanced,English,19 Hours,Paid,SK270,ROLE030,https://example.com/resource/270
RES0271,Learning Resource 271,Course,Coursera,Skill SK271,Beginner,English,2 Hours,Free,SK271,ROLE031,https://example.com/resource/271
RES0272,Learning Resource 272,Cheat Sheet,freeCodeCamp,Skill SK272,Intermediate,English,3 Hours,Paid,SK272,ROLE032,https://example.com/resource/272
RES0273,Learning Resource 273,Book,O'Reilly,Skill SK273,Advanced,English,4 Hours,Free,SK273,ROLE033,https://example.com/resource/273
RES0274,Learning Resource 274,YouTube,YouTube,Skill SK274,Beginner,English,5 Hours,Paid,SK274,ROLE034,https://example.com/resource/274
RES0275,Learning Resource 275,Documentation,MDN,Skill SK275,Intermediate,English,6 Hours,Free,SK275,ROLE035,https://example.com/resource/275
RES0276,Learning Resource 276,Blog,Medium,Skill SK276,Advanced,English,7 Hours,Paid,SK276,ROLE036,https://example.com/resource/276
RES0277,Learning Resource 277,GitHub,GitHub,Skill SK277,Beginner,English,8 Hours,Free,SK277,ROLE037,https://example.com/resource/277
RES0278,Learning Resource 278,Research Paper,arXiv,Skill SK278,Intermediate,English,9 Hours,Paid,SK278,ROLE038,https://example.com/resource/278
RES0279,Learning Resource 279,Course,Coursera,Skill SK279,Advanced,English,10 Hours,Free,SK279,ROLE039,https://example.com/resource/279
RES0280,Learning Resource 280,Cheat Sheet,freeCodeCamp,Skill SK001,Beginner,English,11 Hours,Paid,SK001,ROLE040,https://example.com/resource/280
RES0281,Learning Resource 281,Book,O'Reilly,Skill SK002,Intermediate,English,12 Hours,Free,SK002,ROLE041,https://example.com/resource/281
RES0282,Learning Resource 282,YouTube,YouTube,Skill SK003,Advanced,English,13 Hours,Paid,SK003,ROLE042,https://example.com/resource/282
RES0283,Learning Resource 283,Documentation,MDN,Skill SK004,Beginner,English,14 Hours,Free,SK004,ROLE043,https://example.com/resource/283
RES0284,Learning Resource 284,Blog,Medium,Skill SK005,Intermediate,English,15 Hours,Paid,SK005,ROLE044,https://example.com/resource/284
RES0285,Learning Resource 285,GitHub,GitHub,Skill SK006,Advanced,English,16 Hours,Free,SK006,ROLE045,https://example.com/resource/285
RES0286,Learning Resource 286,Research Paper,arXiv,Skill SK007,Beginner,English,17 Hours,Paid,SK007,ROLE046,https://example.com/resource/286
RES0287,Learning Resource 287,Course,Coursera,Skill SK008,Intermediate,English,18 Hours,Free,SK008,ROLE047,https://example.com/resource/287
RES0288,Learning Resource 288,Cheat Sheet,freeCodeCamp,Skill SK009,Advanced,English,19 Hours,Paid,SK009,ROLE048,https://example.com/resource/288
RES0289,Learning Resource 289,Book,O'Reilly,Skill SK010,Beginner,English,2 Hours,Free,SK010,ROLE049,https://example.com/resource/289
RES0290,Learning Resource 290,YouTube,YouTube,Skill SK011,Intermediate,English,3 Hours,Paid,SK011,ROLE050,https://example.com/resource/290
RES0291,Learning Resource 291,Documentation,MDN,Skill SK012,Advanced,English,4 Hours,Free,SK012,ROLE051,https://example.com/resource/291
RES0292,Learning Resource 292,Blog,Medium,Skill SK013,Beginner,English,5 Hours,Paid,SK013,ROLE052,https://example.com/resource/292
RES0293,Learning Resource 293,GitHub,GitHub,Skill SK014,Intermediate,English,6 Hours,Free,SK014,ROLE053,https://example.com/resource/293
RES0294,Learning Resource 294,Research Paper,arXiv,Skill SK015,Advanced,English,7 Hours,Paid,SK015,ROLE054,https://example.com/resource/294
RES0295,Learning Resource 295,Course,Coursera,Skill SK016,Beginner,English,8 Hours,Free,SK016,ROLE055,https://example.com/resource/295
RES0296,Learning Resource 296,Cheat Sheet,freeCodeCamp,Skill SK017,Intermediate,English,9 Hours,Paid,SK017,ROLE056,https://example.com/resource/296
RES0297,Learning Resource 297,Book,O'Reilly,Skill SK018,Advanced,English,10 Hours,Free,SK018,ROLE057,https://example.com/resource/297
RES0298,Learning Resource 298,YouTube,YouTube,Skill SK019,Beginner,English,11 Hours,Paid,SK019,ROLE058,https://example.com/resource/298
RES0299,Learning Resource 299,Documentation,MDN,Skill SK020,Intermediate,English,12 Hours,Free,SK020,ROLE059,https://example.com/resource/299
RES0300,Learning Resource 300,Blog,Medium,Skill SK021,Advanced,English,13 Hours,Paid,SK021,ROLE060,https://example.com/resource/300
RES0301,Learning Resource 301,GitHub,GitHub,Skill SK022,Beginner,English,14 Hours,Free,SK022,ROLE001,https://example.com/resource/301
RES0302,Learning Resource 302,Research Paper,arXiv,Skill SK023,Intermediate,English,15 Hours,Paid,SK023,ROLE002,https://example.com/resource/302
RES0303,Learning Resource 303,Course,Coursera,Skill SK024,Advanced,English,16 Hours,Free,SK024,ROLE003,https://example.com/resource/303
RES0304,Learning Resource 304,Cheat Sheet,freeCodeCamp,Skill SK025,Beginner,English,17 Hours,Paid,SK025,ROLE004,https://example.com/resource/304
RES0305,Learning Resource 305,Book,O'Reilly,Skill SK026,Intermediate,English,18 Hours,Free,SK026,ROLE005,https://example.com/resource/305
RES0306,Learning Resource 306,YouTube,YouTube,Skill SK027,Advanced,English,19 Hours,Paid,SK027,ROLE006,https://example.com/resource/306
RES0307,Learning Resource 307,Documentation,MDN,Skill SK028,Beginner,English,2 Hours,Free,SK028,ROLE007,https://example.com/resource/307
RES0308,Learning Resource 308,Blog,Medium,Skill SK029,Intermediate,English,3 Hours,Paid,SK029,ROLE008,https://example.com/resource/308
RES0309,Learning Resource 309,GitHub,GitHub,Skill SK030,Advanced,English,4 Hours,Free,SK030,ROLE009,https://example.com/resource/309
RES0310,Learning Resource 310,Research Paper,arXiv,Skill SK031,Beginner,English,5 Hours,Paid,SK031,ROLE010,https://example.com/resource/310
RES0311,Learning Resource 311,Course,Coursera,Skill SK032,Intermediate,English,6 Hours,Free,SK032,ROLE011,https://example.com/resource/311
RES0312,Learning Resource 312,Cheat Sheet,freeCodeCamp,Skill SK033,Advanced,English,7 Hours,Paid,SK033,ROLE012,https://example.com/resource/312
RES0313,Learning Resource 313,Book,O'Reilly,Skill SK034,Beginner,English,8 Hours,Free,SK034,ROLE013,https://example.com/resource/313
RES0314,Learning Resource 314,YouTube,YouTube,Skill SK035,Intermediate,English,9 Hours,Paid,SK035,ROLE014,https://example.com/resource/314
RES0315,Learning Resource 315,Documentation,MDN,Skill SK036,Advanced,English,10 Hours,Free,SK036,ROLE015,https://example.com/resource/315
RES0316,Learning Resource 316,Blog,Medium,Skill SK037,Beginner,English,11 Hours,Paid,SK037,ROLE016,https://example.com/resource/316
RES0317,Learning Resource 317,GitHub,GitHub,Skill SK038,Intermediate,English,12 Hours,Free,SK038,ROLE017,https://example.com/resource/317
RES0318,Learning Resource 318,Research Paper,arXiv,Skill SK039,Advanced,English,13 Hours,Paid,SK039,ROLE018,https://example.com/resource/318
RES0319,Learning Resource 319,Course,Coursera,Skill SK040,Beginner,English,14 Hours,Free,SK040,ROLE019,https://example.com/resource/319
RES0320,Learning Resource 320,Cheat Sheet,freeCodeCamp,Skill SK041,Intermediate,English,15 Hours,Paid,SK041,ROLE020,https://example.com/resource/320
RES0321,Learning Resource 321,Book,O'Reilly,Skill SK042,Advanced,English,16 Hours,Free,SK042,ROLE021,https://example.com/resource/321
RES0322,Learning Resource 322,YouTube,YouTube,Skill SK043,Beginner,English,17 Hours,Paid,SK043,ROLE022,https://example.com/resource/322
RES0323,Learning Resource 323,Documentation,MDN,Skill SK044,Intermediate,English,18 Hours,Free,SK044,ROLE023,https://example.com/resource/323
RES0324,Learning Resource 324,Blog,Medium,Skill SK045,Advanced,English,19 Hours,Paid,SK045,ROLE024,https://example.com/resource/324
RES0325,Learning Resource 325,GitHub,GitHub,Skill SK046,Beginner,English,2 Hours,Free,SK046,ROLE025,https://example.com/resource/325
RES0326,Learning Resource 326,Research Paper,arXiv,Skill SK047,Intermediate,English,3 Hours,Paid,SK047,ROLE026,https://example.com/resource/326
RES0327,Learning Resource 327,Course,Coursera,Skill SK048,Advanced,English,4 Hours,Free,SK048,ROLE027,https://example.com/resource/327
RES0328,Learning Resource 328,Cheat Sheet,freeCodeCamp,Skill SK049,Beginner,English,5 Hours,Paid,SK049,ROLE028,https://example.com/resource/328
RES0329,Learning Resource 329,Book,O'Reilly,Skill SK050,Intermediate,English,6 Hours,Free,SK050,ROLE029,https://example.com/resource/329
RES0330,Learning Resource 330,YouTube,YouTube,Skill SK051,Advanced,English,7 Hours,Paid,SK051,ROLE030,https://example.com/resource/330
RES0331,Learning Resource 331,Documentation,MDN,Skill SK052,Beginner,English,8 Hours,Free,SK052,ROLE031,https://example.com/resource/331
RES0332,Learning Resource 332,Blog,Medium,Skill SK053,Intermediate,English,9 Hours,Paid,SK053,ROLE032,https://example.com/resource/332
RES0333,Learning Resource 333,GitHub,GitHub,Skill SK054,Advanced,English,10 Hours,Free,SK054,ROLE033,https://example.com/resource/333
RES0334,Learning Resource 334,Research Paper,arXiv,Skill SK055,Beginner,English,11 Hours,Paid,SK055,ROLE034,https://example.com/resource/334
RES0335,Learning Resource 335,Course,Coursera,Skill SK056,Intermediate,English,12 Hours,Free,SK056,ROLE035,https://example.com/resource/335
RES0336,Learning Resource 336,Cheat Sheet,freeCodeCamp,Skill SK057,Advanced,English,13 Hours,Paid,SK057,ROLE036,https://example.com/resource/336
RES0337,Learning Resource 337,Book,O'Reilly,Skill SK058,Beginner,English,14 Hours,Free,SK058,ROLE037,https://example.com/resource/337
RES0338,Learning Resource 338,YouTube,YouTube,Skill SK059,Intermediate,English,15 Hours,Paid,SK059,ROLE038,https://example.com/resource/338
RES0339,Learning Resource 339,Documentation,MDN,Skill SK060,Advanced,English,16 Hours,Free,SK060,ROLE039,https://example.com/resource/339
RES0340,Learning Resource 340,Blog,Medium,Skill SK061,Beginner,English,17 Hours,Paid,SK061,ROLE040,https://example.com/resource/340
RES0341,Learning Resource 341,GitHub,GitHub,Skill SK062,Intermediate,English,18 Hours,Free,SK062,ROLE041,https://example.com/resource/341
RES0342,Learning Resource 342,Research Paper,arXiv,Skill SK063,Advanced,English,19 Hours,Paid,SK063,ROLE042,https://example.com/resource/342
RES0343,Learning Resource 343,Course,Coursera,Skill SK064,Beginner,English,2 Hours,Free,SK064,ROLE043,https://example.com/resource/343
RES0344,Learning Resource 344,Cheat Sheet,freeCodeCamp,Skill SK065,Intermediate,English,3 Hours,Paid,SK065,ROLE044,https://example.com/resource/344
RES0345,Learning Resource 345,Book,O'Reilly,Skill SK066,Advanced,English,4 Hours,Free,SK066,ROLE045,https://example.com/resource/345
RES0346,Learning Resource 346,YouTube,YouTube,Skill SK067,Beginner,English,5 Hours,Paid,SK067,ROLE046,https://example.com/resource/346
RES0347,Learning Resource 347,Documentation,MDN,Skill SK068,Intermediate,English,6 Hours,Free,SK068,ROLE047,https://example.com/resource/347
RES0348,Learning Resource 348,Blog,Medium,Skill SK069,Advanced,English,7 Hours,Paid,SK069,ROLE048,https://example.com/resource/348
RES0349,Learning Resource 349,GitHub,GitHub,Skill SK070,Beginner,English,8 Hours,Free,SK070,ROLE049,https://example.com/resource/349
RES0350,Learning Resource 350,Research Paper,arXiv,Skill SK071,Intermediate,English,9 Hours,Paid,SK071,ROLE050,https://example.com/resource/350
RES0351,Learning Resource 351,Course,Coursera,Skill SK072,Advanced,English,10 Hours,Free,SK072,ROLE051,https://example.com/resource/351
RES0352,Learning Resource 352,Cheat Sheet,freeCodeCamp,Skill SK073,Beginner,English,11 Hours,Paid,SK073,ROLE052,https://example.com/resource/352
RES0353,Learning Resource 353,Book,O'Reilly,Skill SK074,Intermediate,English,12 Hours,Free,SK074,ROLE053,https://example.com/resource/353
RES0354,Learning Resource 354,YouTube,YouTube,Skill SK075,Advanced,English,13 Hours,Paid,SK075,ROLE054,https://example.com/resource/354
RES0355,Learning Resource 355,Documentation,MDN,Skill SK076,Beginner,English,14 Hours,Free,SK076,ROLE055,https://example.com/resource/355
RES0356,Learning Resource 356,Blog,Medium,Skill SK077,Intermediate,English,15 Hours,Paid,SK077,ROLE056,https://example.com/resource/356
RES0357,Learning Resource 357,GitHub,GitHub,Skill SK078,Advanced,English,16 Hours,Free,SK078,ROLE057,https://example.com/resource/357
RES0358,Learning Resource 358,Research Paper,arXiv,Skill SK079,Beginner,English,17 Hours,Paid,SK079,ROLE058,https://example.com/resource/358
RES0359,Learning Resource 359,Course,Coursera,Skill SK080,Intermediate,English,18 Hours,Free,SK080,ROLE059,https://example.com/resource/359
RES0360,Learning Resource 360,Cheat Sheet,freeCodeCamp,Skill SK081,Advanced,English,19 Hours,Paid,SK081,ROLE060,https://example.com/resource/360
RES0361,Learning Resource 361,Book,O'Reilly,Skill SK082,Beginner,English,2 Hours,Free,SK082,ROLE001,https://example.com/resource/361
RES0362,Learning Resource 362,YouTube,YouTube,Skill SK083,Intermediate,English,3 Hours,Paid,SK083,ROLE002,https://example.com/resource/362
RES0363,Learning Resource 363,Documentation,MDN,Skill SK084,Advanced,English,4 Hours,Free,SK084,ROLE003,https://example.com/resource/363
RES0364,Learning Resource 364,Blog,Medium,Skill SK085,Beginner,English,5 Hours,Paid,SK085,ROLE004,https://example.com/resource/364
RES0365,Learning Resource 365,GitHub,GitHub,Skill SK086,Intermediate,English,6 Hours,Free,SK086,ROLE005,https://example.com/resource/365
RES0366,Learning Resource 366,Research Paper,arXiv,Skill SK087,Advanced,English,7 Hours,Paid,SK087,ROLE006,https://example.com/resource/366
RES0367,Learning Resource 367,Course,Coursera,Skill SK088,Beginner,English,8 Hours,Free,SK088,ROLE007,https://example.com/resource/367
RES0368,Learning Resource 368,Cheat Sheet,freeCodeCamp,Skill SK089,Intermediate,English,9 Hours,Paid,SK089,ROLE008,https://example.com/resource/368
RES0369,Learning Resource 369,Book,O'Reilly,Skill SK090,Advanced,English,10 Hours,Free,SK090,ROLE009,https://example.com/resource/369
RES0370,Learning Resource 370,YouTube,YouTube,Skill SK091,Beginner,English,11 Hours,Paid,SK091,ROLE010,https://example.com/resource/370
RES0371,Learning Resource 371,Documentation,MDN,Skill SK092,Intermediate,English,12 Hours,Free,SK092,ROLE011,https://example.com/resource/371
RES0372,Learning Resource 372,Blog,Medium,Skill SK093,Advanced,English,13 Hours,Paid,SK093,ROLE012,https://example.com/resource/372
RES0373,Learning Resource 373,GitHub,GitHub,Skill SK094,Beginner,English,14 Hours,Free,SK094,ROLE013,https://example.com/resource/373
RES0374,Learning Resource 374,Research Paper,arXiv,Skill SK095,Intermediate,English,15 Hours,Paid,SK095,ROLE014,https://example.com/resource/374
RES0375,Learning Resource 375,Course,Coursera,Skill SK096,Advanced,English,16 Hours,Free,SK096,ROLE015,https://example.com/resource/375
RES0376,Learning Resource 376,Cheat Sheet,freeCodeCamp,Skill SK097,Beginner,English,17 Hours,Paid,SK097,ROLE016,https://example.com/resource/376
RES0377,Learning Resource 377,Book,O'Reilly,Skill SK098,Intermediate,English,18 Hours,Free,SK098,ROLE017,https://example.com/resource/377
RES0378,Learning Resource 378,YouTube,YouTube,Skill SK099,Advanced,English,19 Hours,Paid,SK099,ROLE018,https://example.com/resource/378
RES0379,Learning Resource 379,Documentation,MDN,Skill SK100,Beginner,English,2 Hours,Free,SK100,ROLE019,https://example.com/resource/379
RES0380,Learning Resource 380,Blog,Medium,Skill SK101,Intermediate,English,3 Hours,Paid,SK101,ROLE020,https://example.com/resource/380
RES0381,Learning Resource 381,GitHub,GitHub,Skill SK102,Advanced,English,4 Hours,Free,SK102,ROLE021,https://example.com/resource/381
RES0382,Learning Resource 382,Research Paper,arXiv,Skill SK103,Beginner,English,5 Hours,Paid,SK103,ROLE022,https://example.com/resource/382
RES0383,Learning Resource 383,Course,Coursera,Skill SK104,Intermediate,English,6 Hours,Free,SK104,ROLE023,https://example.com/resource/383
RES0384,Learning Resource 384,Cheat Sheet,freeCodeCamp,Skill SK105,Advanced,English,7 Hours,Paid,SK105,ROLE024,https://example.com/resource/384
RES0385,Learning Resource 385,Book,O'Reilly,Skill SK106,Beginner,English,8 Hours,Free,SK106,ROLE025,https://example.com/resource/385
RES0386,Learning Resource 386,YouTube,YouTube,Skill SK107,Intermediate,English,9 Hours,Paid,SK107,ROLE026,https://example.com/resource/386
RES0387,Learning Resource 387,Documentation,MDN,Skill SK108,Advanced,English,10 Hours,Free,SK108,ROLE027,https://example.com/resource/387
RES0388,Learning Resource 388,Blog,Medium,Skill SK109,Beginner,English,11 Hours,Paid,SK109,ROLE028,https://example.com/resource/388
RES0389,Learning Resource 389,GitHub,GitHub,Skill SK110,Intermediate,English,12 Hours,Free,SK110,ROLE029,https://example.com/resource/389
RES0390,Learning Resource 390,Research Paper,arXiv,Skill SK111,Advanced,English,13 Hours,Paid,SK111,ROLE030,https://example.com/resource/390
RES0391,Learning Resource 391,Course,Coursera,Skill SK112,Beginner,English,14 Hours,Free,SK112,ROLE031,https://example.com/resource/391
RES0392,Learning Resource 392,Cheat Sheet,freeCodeCamp,Skill SK113,Intermediate,English,15 Hours,Paid,SK113,ROLE032,https://example.com/resource/392
RES0393,Learning Resource 393,Book,O'Reilly,Skill SK114,Advanced,English,16 Hours,Free,SK114,ROLE033,https://example.com/resource/393
RES0394,Learning Resource 394,YouTube,YouTube,Skill SK115,Beginner,English,17 Hours,Paid,SK115,ROLE034,https://example.com/resource/394
RES0395,Learning Resource 395,Documentation,MDN,Skill SK116,Intermediate,English,18 Hours,Free,SK116,ROLE035,https://example.com/resource/395
RES0396,Learning Resource 396,Blog,Medium,Skill SK117,Advanced,English,19 Hours,Paid,SK117,ROLE036,https://example.com/resource/396
RES0397,Learning Resource 397,GitHub,GitHub,Skill SK118,Beginner,English,2 Hours,Free,SK118,ROLE037,https://example.com/resource/397
RES0398,Learning Resource 398,Research Paper,arXiv,Skill SK119,Intermediate,English,3 Hours,Paid,SK119,ROLE038,https://example.com/resource/398
RES0399,Learning Resource 399,Course,Coursera,Skill SK120,Advanced,English,4 Hours,Free,SK120,ROLE039,https://example.com/resource/399
RES0400,Learning Resource 400,Cheat Sheet,freeCodeCamp,Skill SK121,Beginner,English,5 Hours,Paid,SK121,ROLE040,https://example.com/resource/400
RES0401,Learning Resource 401,Book,O'Reilly,Skill SK122,Intermediate,English,6 Hours,Free,SK122,ROLE041,https://example.com/resource/401
