skill_id,skill_name,skill_category,skill_type,difficulty_level,estimated_learning_hours,prerequisite_skill,industry_demand,description,certification_available
SK254,Networking,Soft Skills,Soft Skill,Intermediate,60,Mentoring,High,Networking skill used in soft skills domain.,Yes
SK255,Customer Handling,Soft Skills,Soft Skill,Advanced,20,Networking,High,Customer Handling skill used in soft skills domain.,Yes
SK256,Business Communication,Soft Skills,Soft Skill,Beginner,40,Customer Handling,High,Business Communication skill used in soft skills domain.,Yes
SK257,Professional Ethics,Soft Skills,Soft Skill,Intermediate,60,Business Communication,High,Professional Ethics skill used in soft skills domain.,Yes
SK258,Project Planning,Soft Skills,Soft Skill,Advanced,20,Professional Ethics,High,Project Planning skill used in soft skills domain.,Yes
SK259,Agile Mindset,Soft Skills,Soft Skill,Beginner,40,Project Planning,High,Agile Mindset skill used in soft skills domain.,Yes
SK260,Figma,Design,Technical,Intermediate,60,Agile Mindset,High,Figma skill used in design domain.,Yes
SK261,Adobe XD,Design,Technical,Advanced,20,Figma,High,Adobe XD skill used in design domain.,Yes
SK262,Photoshop,Design,Technical,Beginner,40,Adobe XD,High,Photoshop skill used in design domain.,Yes
SK263,Illustrator,Design,Technical,Intermediate,60,Photoshop,High,Illustrator skill used in design domain.,Yes
SK264,Canva,Design,Technical,Advanced,20,Illustrator,High,Canva skill used in design domain.,Yes
SK265,Wireframing,Design,Technical,Beginner,40,Canva,High,Wireframing skill used in design domain.,Yes
SK266,Prototyping,Design,Technical,Intermediate,60,Wireframing,High,Prototyping skill used in design domain.,Yes
SK267,UX Research,Design,Technical,Advanced,20,Prototyping,High,UX Research skill used in design domain.,Yes
SK268,UI Design,Design,Technical,Beginner,40,UX Research,High,UI Design skill used in design domain.,Yes
SK269,Design Systems,Design,Technical,Intermediate,60,UI Design,High,Design Systems skill used in design domain.,Yes
SK270,Color Theory,Design,Technical,Advanced,20,Design Systems,High,Color Theory skill used in design domain.,Yes
SK271,Typography,Design,Technical,Beginner,40,Color Theory,High,Typography skill used in design domain.,Yes
SK272,Accessibility,Design,Technical,Intermediate,60,Typography,High,Accessibility skill used in design domain.,Yes
SK273,Responsive Design Design,Design,Technical,Advanced,20,Accessibility,High,Responsive Design Design skill used in design domain.,Yes
SK274,Animation,Design,Technical,Beginner,40,Responsive Design Design,High,Animation skill used in design domain.,Yes
SK275,Motion Design,Design,Technical,Intermediate,60,Animation,High,Motion Design skill used in design domain.,Yes
SK276,User Journey Mapping,Design,Technical,Advanced,20,Motion Design,High,User Journey Mapping skill used in design domain.,Yes
SK277,Usability Testing,Design,Technical,Beginner,40,User Journey Mapping,High,Usability Testing skill used in design domain.,Yes
SK278,Information Architecture,Design,Technical,Intermediate,60,Usability Testing,High,Information Architecture skill used in design domain.,Yes
SK279,Interaction Design,Design,Technical,Advanced,20,Information Architecture,High,Interaction Design skill used in design domain.,Yes
