mapping_id,role_id,skill_id,importance,minimum_proficiency,mandatory,recommended_learning_order
MAP0470,ROLE019,SK155,Low,Beginner,No,20
MAP0471,ROLE019,SK156,Low,Beginner,No,21
MAP0472,ROLE019,SK157,Low,Beginner,No,22
MAP0473,ROLE019,SK158,Low,Beginner,No,23
MAP0474,ROLE019,SK159,Low,Beginner,No,24
MAP0475,ROLE019,SK160,Low,Beginner,No,25
MAP0476,ROLE020,SK159,High,Intermediate,Yes,1
MAP0477,ROLE020,SK160,High,Intermediate,Yes,2
MAP0478,ROLE020,SK161,High,Intermediate,Yes,3
MAP0479,ROLE020,SK162,High,Intermediate,Yes,4
MAP0480,ROLE020,SK163,High,Intermediate,Yes,5
MAP0481,ROLE020,SK164,Medium,Beginner,Yes,6
MAP0482,ROLE020,SK165,Medium,Beginner,Yes,7
MAP0483,ROLE020,SK166,Medium,Beginner,Yes,8
MAP0484,ROLE020,SK167,Medium,Beginner,Yes,9
MAP0485,ROLE020,SK168,Medium,Beginner,Yes,10
MAP0486,ROLE020,SK169,Medium,Beginner,Yes,11
MAP0487,ROLE020,SK170,Medium,Beginner,Yes,12
MAP0488,ROLE020,SK171,Medium,Beginner,Yes,13
MAP0489,ROLE020,SK172,Medium,Beginner,Yes,14
MAP0490,ROLE020,SK173,Medium,Beginner,Yes,15
MAP0491,ROLE020,SK174,Low,Beginner,No,16
MAP0492,ROLE020,SK175,Low,Beginner,No,17
MAP0493,ROLE020,SK176,Low,Beginner,No,18
MAP0494,ROLE020,SK177,Low,Beginner,No,19
MAP0495,ROLE020,SK178,Low,Beginner,No,20
MAP0496,ROLE020,SK179,Low,Beginner,No,21
MAP0497,ROLE020,SK180,Low,Beginner,No,22
MAP0498,ROLE020,SK181,Low,Beginner,No,23
MAP0499,ROLE020,SK182,Low,Beginner,No,24
MAP0500,ROLE020,SK183,Low,Beginner,No,25
MAP0501,ROLE021,SK182,High,Intermediate,Yes,1
MAP0502,ROLE021,SK183,High,Intermediate,Yes,2
MAP0503,ROLE021,SK184,High,Intermediate,Yes,3
MAP0504,ROLE021,SK185,High,Intermediate,Yes,4
MAP0505,ROLE021,SK186,High,Intermediate,Yes,5
MAP0506,ROLE021,SK187,Medium,Beginner,Yes,6
MAP0507,ROLE021,SK188,Medium,Beginner,Yes,7
MAP0508,ROLE021,SK189,Medium,Beginner,Yes,8
MAP0509,ROLE021,SK190,Medium,Beginner,Yes,9
MAP0510,ROLE021,SK191,Medium,Beginner,Yes,10
MAP0511,ROLE021,SK192,Medium,Beginner,Yes,11
MAP0512,ROLE021,SK193,Medium,Beginner,Yes,12
MAP0513,ROLE021,SK194,Medium,Beginner,Yes,13
MAP0514,ROLE021,SK195,Medium,Beginner,Yes,14
MAP0515,ROLE021,SK196,Medium,Beginner,Yes,15
MAP0516,ROLE021,SK197,Low,Beginner,No,16
MAP0517,ROLE021,SK198,Low,Beginner,No,17
MAP0518,ROLE021,SK199,Low,Beginner,No,18
MAP0519,ROLE021,SK200,Low,Beginner,No,19
MAP0520,ROLE021,SK201,Low,Beginner,No,20
MAP0521,ROLE021,SK202,Low,Beginner,No,21
MAP0522,ROLE021,SK203,Low,Beginner,No,22
MAP0523,ROLE021,SK204,Low,Beginner,No,23
MAP0524,ROLE021,SK205,Low,Beginner,No,24
MAP0525,ROLE021,SK206,Low,Beginner,No,25
MAP0526,ROLE022,SK205,High,Intermediate,Yes,1
MAP0527,ROLE022,SK206,High,Intermediate,Yes,2
MAP0528,ROLE022,SK207,High,Intermediate,Yes,3
MAP0529,ROLE022,SK208,High,Intermediate,Yes,4
MAP0530,ROLE022,SK209,High,Intermediate,Yes,5
MAP0531,ROLE022,SK210,Medium,Beginner,Yes,6
MAP0532,ROLE022,SK211,Medium,Beginner,Yes,7
MAP0533,ROLE022,SK212,Medium,Beginner,Yes,8
MAP0534,ROLE022,SK213,Medium,Beginner,Yes,9
MAP0535,ROLE022,SK214,Medium,Beginner,Yes,10
MAP0536,ROLE022,SK215,Medium,Beginner,Yes,11
MAP0537,ROLE022,SK216,Medium,Beginner,Yes,12
MAP0538,ROLE022,SK217,Medium,Beginner,Yes,13
MAP0539,ROLE022,SK218,Medium,Beginner,Yes,14
MAP0540,ROLE022,SK219,Medium,Beginner,Yes,15
MAP0541,ROLE022,SK220,Low,Beginner,No,16
MAP0542,ROLE022,SK221,Low,Beginner,No,17
MAP0543,ROLE022,SK222,Low,Beginner,No,18
MAP0544,ROLE022,SK223,Low,Beginner,No,19
MAP0545,ROLE022,SK224,Low,Beginner,No,20
MAP0546,ROLE022,SK225,Low,Beginner,No,21
MAP0547,ROLE022,SK226,Low,Beginner,No,22
MAP0548,ROLE022,SK227,Low,Beginner,No,23
MAP0549,ROLE022,SK228,Low,Beginner,No,24
MAP0550,ROLE022,SK229,Low,Beginner,No,25
MAP0551,ROLE023,SK228,High,Intermediate,Yes,1
MAP0552,ROLE023,SK229,High,Intermediate,Yes,2
MAP0553,ROLE023,SK230,High,Intermediate,Yes,3
MAP0554,ROLE023,SK231,High,Intermediate,Yes,4
MAP0555,ROLE023,SK232,High,Intermediate,Yes,5
MAP0556,ROLE023,SK233,Medium,Beginner,Yes,6
MAP0557,ROLE023,SK234,Medium,Beginner,Yes,7
MAP0558,ROLE023,SK235,Medium,Beginner,Yes,8
MAP0559,ROLE023,SK236,Medium,Beginner,Yes,9
MAP0560,ROLE023,SK237,Medium,Beginner,Yes,10
MAP0561,ROLE023,SK238,Medium,Beginner,Yes,11
MAP0562,ROLE023,SK239,Medium,Beginner,Yes,12
MAP0563,ROLE023,SK240,Medium,Beginner,Yes,13
MAP0564,ROLE023,SK241,Medium,Beginner,Yes,14
MAP0565,ROLE023,SK242,Medium,Beginner,Yes,15
MAP0566,ROLE023,SK243,Low,Beginner,No,16
MAP0567,ROLE023,SK244,Low,Beginner,No,17
MAP0568,ROLE023,SK245,Low,Beginner,No,18
MAP0569,ROLE023,SK246,Low,Beginner,No,19
MAP0570,ROLE023,SK247,Low,Beginner,No,20
MAP0571,ROLE023,SK248,Low,Beginner,No,21
MAP0572,ROLE023,SK249,Low,Beginner,No,22
MAP0573,ROLE023,SK250,Low,Beginner,No,23
MAP0574,ROLE023,SK251,Low,Beginner,No,24
MAP0575,ROLE023,SK252,Low,Beginner,No,25
MAP0576,ROLE024,SK251,High,Intermediate,Yes,1
MAP0577,ROLE024,SK252,High,Intermediate,Yes,2
MAP0578,ROLE024,SK253,High,Intermediate,Yes,3
MAP0579,ROLE024,SK254,High,Intermediate,Yes,4
MAP0580,ROLE024,SK255,High,Intermediate,Yes,5
MAP0581,ROLE024,SK256,Medium,Beginner,Yes,6
MAP0582,ROLE024,SK257,Medium,Beginner,Yes,7
MAP0583,ROLE024,SK258,Medium,Beginner,Yes,8
MAP0584,ROLE024,SK259,Medium,Beginner,Yes,9
MAP0585,ROLE024,SK260,Medium,Beginner,Yes,10
MAP0586,ROLE024,SK261,Medium,Beginner,Yes,11
MAP0587,ROLE024,SK262,Medium,Beginner,Yes,12
MAP0588,ROLE024,SK263,Medium,Beginner,Yes,13
MAP0589,ROLE024,SK264,Medium,Beginner,Yes,14
MAP0590,ROLE024,SK265,Medium,Beginner,Yes,15
MAP0591,ROLE024,SK266,Low,Beginner,No,16
MAP0592,ROLE024,SK267,Low,Beginner,No,17
MAP0593,ROLE024,SK268,Low,Beginner,No,18
MAP0594,ROLE024,SK269,Low,Beginner,No,19
MAP0595,ROLE024,SK270,Low,Beginner,No,20
MAP0596,ROLE024,SK271,Low,Beginner,No,21
MAP0597,ROLE024,SK272,Low,Beginner,No,22
MAP0598,ROLE024,SK273,Low,Beginner,No,23
MAP0599,ROLE024,SK274,Low,Beginner,No,24
MAP0600,ROLE024,SK275,Low,Beginner,No,25
MAP0601,ROLE025,SK274,High,Intermediate,Yes,1
MAP0602,ROLE025,SK275,High,Intermediate,Yes,2
MAP0603,ROLE025,SK276,High,Intermediate,Yes,3
MAP0604,ROLE025,SK277,High,Intermediate,Yes,4
MAP0605,ROLE025,SK278,High,Intermediate,Yes,5
MAP0606,ROLE025,SK279,Medium,Beginner,Yes,6
MAP0607,ROLE025,SK001,Medium,Beginner,Yes,7
MAP0608,ROLE025,SK002,Medium,Beginner,Yes,8
MAP0609,ROLE025,SK003,Medium,Beginner,Yes,9
MAP0610,ROLE025,SK004,Medium,Beginner,Yes,10
MAP0611,ROLE025,SK005,Medium,Beginner,Yes,11
MAP0612,ROLE025,SK006,Medium,Beginner,Yes,12
MAP0613,ROLE025,SK007,Medium,Beginner,Yes,13
MAP0614,ROLE025,SK008,Medium,Beginner,Yes,14
MAP0615,ROLE025,SK009,Medium,Beginner,Yes,15
MAP0616,ROLE025,SK010,Low,Beginner,No,16
MAP0617,ROLE025,SK011,Low,Beginner,No,17
MAP0618,ROLE025,SK012,Low,Beginner,No,18
MAP0619,ROLE025,SK013,Low,Beginner,No,19
MAP0620,ROLE025,SK014,Low,Beginner,No,20
MAP0621,ROLE025,SK015,Low,Beginner,No,21
MAP0622,ROLE025,SK016,Low,Beginner,No,22
MAP0623,ROLE025,SK017,Low,Beginner,No,23
MAP0624,ROLE025,SK018,Low,Beginner,No,24
MAP0625,ROLE025,SK019,Low,Beginner,No,25
MAP0626,ROLE026,SK018,High,Intermediate,Yes,1
MAP0627,ROLE026,SK019,High,Intermediate,Yes,2
MAP0628,ROLE026,SK020,High,Intermediate,Yes,3
MAP0629,ROLE026,SK021,High,Intermediate,Yes,4
MAP0630,ROLE026,SK022,High,Intermediate,Yes,5
MAP0631,ROLE026,SK023,Medium,Beginner,Yes,6
MAP0632,ROLE026,SK024,Medium,Beginner,Yes,7
MAP0633,ROLE026,SK025,Medium,Beginner,Yes,8
MAP0634,ROLE026,SK026,Medium,Beginner,Yes,9
MAP0635,ROLE026,SK027,Medium,Beginner,Yes,10
MAP0636,ROLE026,SK028,Medium,Beginner,Yes,11
MAP0637,ROLE026,SK029,Medium,Beginner,Yes,12
MAP0638,ROLE026,SK030,Medium,Beginner,Yes,13
MAP0639,ROLE026,SK031,Medium,Beginner,Yes,14
MAP0640,ROLE026,SK032,Medium,Beginner,Yes,15
MAP0641,ROLE026,SK033,Low,Beginner,No,16
MAP0642,ROLE026,SK034,Low,Beginner,No,17
MAP0643,ROLE026,SK035,Low,Beginner,No,18
MAP0644,ROLE026,SK036,Low,Beginner,No,19
MAP0645,ROLE026,SK037,Low,Beginner,No,20
MAP0646,ROLE026,SK038,Low,Beginner,No,21
MAP0647,ROLE026,SK039,Low,Beginner,No,22
MAP0648,ROLE026,SK040,Low,Beginner,No,23
MAP0649,ROLE026,SK041,Low,Beginner,No,24
MAP0650,ROLE026,SK042,Low,Beginner,No,25
MAP0651,ROLE027,SK041,High,Intermediate,Yes,1
MAP0652,ROLE027,SK042,High,Intermediate,Yes,2
MAP0653,ROLE027,SK043,High,Intermediate,Yes,3
MAP0654,ROLE027,SK044,High,Intermediate,Yes,4
MAP0655,ROLE027,SK045,High,Intermediate,Yes,5
MAP0656,ROLE027,SK046,Medium,Beginner,Yes,6
MAP0657,ROLE027,SK047,Medium,Beginner,Yes,7
MAP0658,ROLE027,SK048,Medium,Beginner,Yes,8
MAP0659,ROLE027,SK049,Medium,Beginner,Yes,9
MAP0660,ROLE027,SK050,Medium,Beginner,Yes,10
MAP0661,ROLE027,SK051,Medium,Beginner,Yes,11
MAP0662,ROLE027,SK052,Medium,Beginner,Yes,12
MAP0663,ROLE027,SK053,Medium,Beginner,Yes,13
MAP0664,ROLE027,SK054,Medium,Beginner,Yes,14
MAP0665,ROLE027,SK055,Medium,Beginner,Yes,15
MAP0666,ROLE027,SK056,Low,Beginner,No,16
MAP0667,ROLE027,SK057,Low,Beginner,No,17
MAP0668,ROLE027,SK058,Low,Beginner,No,18
MAP0669,ROLE027,SK059,Low,Beginner,No,19
MAP0670,ROLE027,SK060,Low,Beginner,No,20
MAP0671,ROLE027,SK061,Low,Beginner,No,21
MAP0672,ROLE027,SK062,Low,Beginner,No,22
MAP0673,ROLE027,SK063,Low,Beginner,No,23
MAP0674,ROLE027,SK064,Low,Beginner,No,24
MAP0675,ROLE027,SK065,Low,Beginner,No,25
MAP0676,ROLE028,SK064,High,Intermediate,Yes,1
MAP0677,ROLE028,SK065,High,Intermediate,Yes,2
MAP0678,ROLE028,SK066,High,Intermediate,Yes,3
MAP0679,ROLE028,SK067,High,Intermediate,Yes,4
MAP0680,ROLE028,SK068,High,Intermediate,Yes,5
MAP0681,ROLE028,SK069,Medium,Beginner,Yes,6
MAP0682,ROLE028,SK070,Medium,Beginner,Yes,7
MAP0683,ROLE028,SK071,Medium,Beginner,Yes,8
MAP0684,ROLE028,SK072,Medium,Beginner,Yes,9
MAP0685,ROLE028,SK073,Medium,Beginner,Yes,10
MAP0686,ROLE028,SK074,Medium,Beginner,Yes,11
MAP0687,ROLE028,SK075,Medium,Beginner,Yes,12
MAP0688,ROLE028,SK076,Medium,Beginner,Yes,13
MAP0689,ROLE028,SK077,Medium,Beginner,Yes,14
MAP0690,ROLE028,SK078,Medium,Beginner,Yes,15
MAP0691,ROLE028,SK079,Low,Beginner,No,16
MAP0692,ROLE028,SK080,Low,Beginner,No,17
MAP0693,ROLE028,SK081,Low,Beginner,No,18
MAP0694,ROLE028,SK082,Low,Beginner,No,19
MAP0695,ROLE028,SK083,Low,Beginner,No,20
MAP0696,ROLE028,SK084,Low,Beginner,No,21
MAP0697,ROLE028,SK085,Low,Beginner,No,22
MAP0698,ROLE028,SK086,Low,Beginner,No,23
MAP0699,ROLE028,SK087,Low,Beginner,No,24
MAP0700,ROLE028,SK088,Low,Beginner,No,25
MAP0701,ROLE029,SK087,High,Intermediate,Yes,1
MAP0702,ROLE029,SK088,High,Intermediate,Yes,2
MAP0703,ROLE029,SK089,High,Intermediate,Yes,3
MAP0704,ROLE029,SK090,High,Intermediate,Yes,4
MAP0705,ROLE029,SK091,High,Intermediate,Yes,5
MAP0706,ROLE029,SK092,Medium,Beginner,Yes,6
MAP0707,ROLE029,SK093,Medium,Beginner,Yes,7
MAP0708,ROLE029,SK094,Medium,Beginner,Yes,8
MAP0709,ROLE029,SK095,Medium,Beginner,Yes,9
MAP0710,ROLE029,SK096,Medium,Beginner,Yes,10
MAP0711,ROLE029,SK097,Medium,Beginner,Yes,11
MAP0712,ROLE029,SK098,Medium,Beginner,Yes,12
MAP0713,ROLE029,SK099,Medium,Beginner,Yes,13
MAP0714,ROLE029,SK100,Medium,Beginner,Yes,14
MAP0715,ROLE029,SK101,Medium,Beginner,Yes,15
MAP0716,ROLE029,SK102,Low,Beginner,No,16
MAP0717,ROLE029,SK103,Low,Beginner,No,17
MAP0718,ROLE029,SK104,Low,Beginner,No,18
MAP0719,ROLE029,SK105,Low,Beginner,No,19
MAP0720,ROLE029,SK106,Low,Beginner,No,20
MAP0721,ROLE029,SK107,Low,Beginner,No,21
MAP0722,ROLE029,SK108,Low,Beginner,No,22
MAP0723,ROLE029,SK109,Low,Beginner,No,23
MAP0724,ROLE029,SK110,Low,Beginner,No,24
MAP0725,ROLE029,SK111,Low,Beginner,No,25
MAP0726,ROLE030,SK110,High,Intermediate,Yes,1
MAP0727,ROLE030,SK111,High,Intermediate,Yes,2
MAP0728,ROLE030,SK112,High,Intermediate,Yes,3
MAP0729,ROLE030,SK113,High,Intermediate,Yes,4
MAP0730,ROLE030,SK114,High,Intermediate,Yes,5
MAP0731,ROLE030,SK115,Medium,Beginner,Yes,6
MAP0732,ROLE030,SK116,Medium,Beginner,Yes,7
MAP0733,ROLE030,SK117,Medium,Beginner,Yes,8
MAP0734,ROLE030,SK118,Medium,Beginner,Yes,9
MAP0735,ROLE030,SK119,Medium,Beginner,Yes,10
MAP0736,ROLE030,SK120,Medium,Beginner,Yes,11
MAP0737,ROLE030,SK121,Medium,Beginner,Yes,12
MAP0738,ROLE030,SK122,Medium,Beginner,Yes,13
MAP0739,ROLE030,SK123,Medium,Beginner,Yes,14
MAP0740,ROLE030,SK124,Medium,Beginner,Yes,15
MAP0741,ROLE030,SK125,Low,Beginner,No,16
MAP0742,ROLE030,SK126,Low,Beginner,No,17
MAP0743,ROLE030,SK127,Low,Beginner,No,18
MAP0744,ROLE030,SK128,Low,Beginner,No,19
MAP0745,ROLE030,SK129,Low,Beginner,No,20
MAP0746,ROLE030,SK130,Low,Beginner,No,21
MAP0747,ROLE030,SK131,Low,Beginner,No,22
MAP0748,ROLE030,SK132,Low,Beginner,No,23
MAP0749,ROLE030,SK133,Low,Beginner,No,24
MAP0750,ROLE030,SK134,Low,Beginner,No,25
MAP0751,ROLE031,SK133,High,Intermediate,Yes,1
MAP0752,ROLE031,SK134,High,Intermediate,Yes,2
MAP0753,ROLE031,SK135,High,Intermediate,Yes,3
MAP0754,ROLE031,SK136,High,Intermediate,Yes,4
MAP0755,ROLE031,SK137,High,Intermediate,Yes,5
MAP0756,ROLE031,SK138,Medium,Beginner,Yes,6
MAP0757,ROLE031,SK139,Medium,Beginner,Yes,7
MAP0758,ROLE031,SK140,Medium,Beginner,Yes,8
MAP0759,ROLE031,SK141,Medium,Beginner,Yes,9
MAP0760,ROLE031,SK142,Medium,Beginner,Yes,10
MAP0761,ROLE031,SK143,Medium,Beginner,Yes,11
MAP0762,ROLE031,SK144,Medium,Beginner,Yes,12
MAP0763,ROLE031,SK145,Medium,Beginner,Yes,13
MAP0764,ROLE031,SK146,Medium,Beginner,Yes,14
MAP0765,ROLE031,SK147,Medium,Beginner,Yes,15
MAP0766,ROLE031,SK148,Low,Beginner,No,16
MAP0767,ROLE031,SK149,Low,Beginner,No,17
MAP0768,ROLE031,SK150,Low,Beginner,No,18
MAP0769,ROLE031,SK151,Low,Beginner,No,19
MAP0770,ROLE031,SK152,Low,Beginner,No,20
MAP0771,ROLE031,SK153,Low,Beginner,No,21
MAP0772,ROLE031,SK154,Low,Beginner,No,22
MAP0773,ROLE031,SK155,Low,Beginner,No,23
MAP0774,ROLE031,SK156,Low,Beginner,No,24
MAP0775,ROLE031,SK157,Low,Beginner,No,25
MAP0776,ROLE032,SK156,High,Intermediate,Yes,1
MAP0777,ROLE032,SK157,High,Intermediate,Yes,2
MAP0778,ROLE032,SK158,High,Intermediate,Yes,3
MAP0779,ROLE032,SK159,High,Intermediate,Yes,4
MAP0780,ROLE032,SK160,High,Intermediate,Yes,5
MAP0781,ROLE032,SK161,Medium,Beginner,Yes,6
MAP0782,ROLE032,SK162,Medium,Beginner,Yes,7
MAP0783,ROLE032,SK163,Medium,Beginner,Yes,8
MAP0784,ROLE032,SK164,Medium,Beginner,Yes,9
MAP0785,ROLE032,SK165,Medium,Beginner,Yes,10
MAP0786,ROLE032,SK166,Medium,Beginner,Yes,11
MAP0787,ROLE032,SK167,Medium,Beginner,Yes,12
MAP0788,ROLE032,SK168,Medium,Beginner,Yes,13
MAP0789,ROLE032,SK169,Medium,Beginner,Yes,14
MAP0790,ROLE032,SK170,Medium,Beginner,Yes,15
MAP0791,ROLE032,SK171,Low,Beginner,No,16
MAP0792,ROLE032,SK172,Low,Beginner,No,17
MAP0793,ROLE032,SK173,Low,Beginner,No,18
MAP0794,ROLE032,SK174,Low,Beginner,No,19
MAP0795,ROLE032,SK175,Low,Beginner,No,20
MAP0796,ROLE032,SK176,Low,Beginner,No,21
MAP0797,ROLE032,SK177,Low,Beginner,No,22
MAP0798,ROLE032,SK178,Low,Beginner,No,23
MAP0799,ROLE032,SK179,Low,Beginner,No,24
MAP0800,ROLE032,SK180,Low,Beginner,No,25
MAP0801,ROLE033,SK179,High,Intermediate,Yes,1
MAP0802,ROLE033,SK180,High,Intermediate,Yes,2
MAP0803,ROLE033,SK181,High,Intermediate,Yes,3
MAP0804,ROLE033,SK182,High,Intermediate,Yes,4
MAP0805,ROLE033,SK183,High,Intermediate,Yes,5
MAP0806,ROLE033,SK184,Medium,Beginner,Yes,6
MAP0807,ROLE033,SK185,Medium,Beginner,Yes,7
MAP0808,ROLE033,SK186,Medium,Beginner,Yes,8
MAP0809,ROLE033,SK187,Medium,Beginner,Yes,9
MAP0810,ROLE033,SK188,Medium,Beginner,Yes,10
MAP0811,ROLE033,SK189,Medium,Beginner,Yes,11
MAP0812,ROLE033,SK190,Medium,Beginner,Yes,12
MAP0813,ROLE033,SK191,Medium,Beginner,Yes,13
MAP0814,ROLE033,SK192,Medium,Beginner,Yes,14
MAP0815,ROLE033,SK193,Medium,Beginner,Yes,15
MAP0816,ROLE033,SK194,Low,Beginner,No,16
MAP0817,ROLE033,SK195,Low,Beginner,No,17
MAP0818,ROLE033,SK196,Low,Beginner,No,18
MAP0819,ROLE033,SK197,Low,Beginner,No,19
MAP0820,ROLE033,SK198,Low,Beginner,No,20
MAP0821,ROLE033,SK199,Low,Beginner,No,21
MAP0822,ROLE033,SK200,Low,Beginner,No,22
MAP0823,ROLE033,SK201,Low,Beginner,No,23
MAP0824,ROLE033,SK202,Low,Beginner,No,24
MAP0825,ROLE033,SK203,Low,Beginner,No,25
MAP0826,ROLE034,SK202,High,Intermediate,Yes,1
MAP0827,ROLE034,SK203,High,Intermediate,Yes,2
MAP0828,ROLE034,SK204,High,Intermediate,Yes,3
MAP0829,ROLE034,SK205,High,Intermediate,Yes,4
MAP0830,ROLE034,SK206,High,Intermediate,Yes,5
MAP0831,ROLE034,SK207,Medium,Beginner,Yes,6
MAP0832,ROLE034,SK208,Medium,Beginner,Yes,7
MAP0833,ROLE034,SK209,Medium,Beginner,Yes,8
MAP0834,ROLE034,SK210,Medium,Beginner,Yes,9
MAP0835,ROLE034,SK211,Medium,Beginner,Yes,10
MAP0836,ROLE034,SK212,Medium,Beginner,Yes,11
MAP0837,ROLE034,SK213,Medium,Beginner,Yes,12
MAP0838,ROLE034,SK214,Medium,Beginner,Yes,13
MAP0839,ROLE034,SK215,Medium,Beginner,Yes,14
MAP0840,ROLE034,SK216,Medium,Beginner,Yes,15
MAP0841,ROLE034,SK217,Low,Beginner,No,16
MAP0842,ROLE034,SK218,Low,Beginner,No,17
MAP0843,ROLE034,SK219,Low,Beginner,No,18
MAP0844,ROLE034,SK220,Low,Beginner,No,19
MAP0845,ROLE034,SK221,Low,Beginner,No,20
MAP0846,ROLE034,SK222,Low,Beginner,No,21
MAP0847,ROLE034,SK223,Low,Beginner,No,22
MAP0848,ROLE034,SK224,Low,Beginner,No,23
MAP0849,ROLE034,SK225,Low,Beginner,No,24
MAP0850,ROLE034,SK226,Low,Beginner,No,25
MAP0851,ROLE035,SK225,High,Intermediate,Yes,1
MAP0852,ROLE035,SK226,High,Intermediate,Yes,2
MAP0853,ROLE035,SK227,High,Intermediate,Yes,3
MAP0854,ROLE035,SK228,High,Intermediate,Yes,4
MAP0855,ROLE035,SK229,High,Intermediate,Yes,5
MAP0856,ROLE035,SK230,Medium,Beginner,Yes,6
MAP0857,ROLE035,SK231,Medium,Beginner,Yes,7
MAP0858,ROLE035,SK232,Medium,Beginner,Yes,8
MAP0859,ROLE035,SK233,Medium,Beginner,Yes,9
MAP0860,ROLE035,SK234,Medium,Beginner,Yes,10
MAP0861,ROLE035,SK235,Medium,Beginner,Yes,11
MAP0862,ROLE035,SK236,Medium,Beginner,Yes,12
MAP0863,ROLE035,SK237,Medium,Beginner,Yes,13
MAP0864,ROLE035,SK238,Medium,Beginner,Yes,14
MAP0865,ROLE035,SK239,Medium,Beginner,Yes,15
MAP0866,ROLE035,SK240,Low,Beginner,No,16
MAP0867,ROLE035,SK241,Low,Beginner,No,17
MAP0868,ROLE035,SK242,Low,Beginner,No,18
MAP0869,ROLE035,SK243,Low,Beginner,No,19
MAP0870,ROLE035,SK244,Low,Beginner,No,20
MAP0871,ROLE035,SK245,Low,Beginner,No,21
MAP0872,ROLE035,SK246,Low,Beginner,No,22
MAP0873,ROLE035,SK247,Low,Beginner,No,23
MAP0874,ROLE035,SK248,Low,Beginner,No,24
MAP0875,ROLE035,SK249,Low,Beginner,No,25
MAP0876,ROLE036,SK248,High,Intermediate,Yes,1
MAP0877,ROLE036,SK249,High,Intermediate,Yes,2
MAP0878,ROLE036,SK250,High,Intermediate,Yes,3
MAP0879,ROLE036,SK251,High,Intermediate,Yes,4
MAP0880,ROLE036,SK252,High,Intermediate,Yes,5
MAP0881,ROLE036,SK253,Medium,Beginner,Yes,6
MAP0882,ROLE036,SK254,Medium,Beginner,Yes,7
MAP0883,ROLE036,SK255,Medium,Beginner,Yes,8
MAP0884,ROLE036,SK256,Medium,Beginner,Yes,9
MAP0885,ROLE036,SK257,Medium,Beginner,Yes,10
MAP0886,ROLE036,SK258,Medium,Beginner,Yes,11
MAP0887,ROLE036,SK259,Medium,Beginner,Yes,12
MAP0888,ROLE036,SK260,Medium,Beginner,Yes,13
MAP0889,ROLE036,SK261,Medium,Beginner,Yes,14
MAP0890,ROLE036,SK262,Medium,Beginner,Yes,15
MAP0891,ROLE036,SK263,Low,Beginner,No,16
MAP0892,ROLE036,SK264,Low,Beginner,No,17
MAP0893,ROLE036,SK265,Low,Beginner,No,18
MAP0894,ROLE036,SK266,Low,Beginner,No,19
MAP0895,ROLE036,SK267,Low,Beginner,No,20
MAP0896,ROLE036,SK268,Low,Beginner,No,21
MAP0897,ROLE036,SK269,Low,Beginner,No,22
MAP0898,ROLE036,SK270,Low,Beginner,No,23
MAP0899,ROLE036,SK271,Low,Beginner,No,24
MAP0900,ROLE036,SK272,Low,Beginner,No,25
MAP0901,ROLE037,SK271,High,Intermediate,Yes,1
MAP0902,ROLE037,SK272,High,Intermediate,Yes,2
MAP0903,ROLE037,SK273,High,Intermediate,Yes,3
MAP0904,ROLE037,SK274,High,Intermediate,Yes,4
MAP0905,ROLE037,SK275,High,Intermediate,Yes,5
MAP0906,ROLE037,SK276,Medium,Beginner,Yes,6
MAP0907,ROLE037,SK277,Medium,Beginner,Yes,7
MAP0908,ROLE037,SK278,Medium,Beginner,Yes,8
MAP0909,ROLE037,SK279,Medium,Beginner,Yes,9
MAP0910,ROLE037,SK001,Medium,Beginner,Yes,10
MAP0911,ROLE037,SK002,Medium,Beginner,Yes,11
MAP0912,ROLE037,SK003,Medium,Beginner,Yes,12
MAP0913,ROLE037,SK004,Medium,Beginner,Yes,13
MAP0914,ROLE037,SK005,Medium,Beginner,Yes,14
MAP0915,ROLE037,SK006,Medium,Beginner,Yes,15
MAP0916,ROLE037,SK007,Low,Beginner,No,16
MAP0917,ROLE037,SK008,Low,Beginner,No,17
MAP0918,ROLE037,SK009,Low,Beginner,No,18
MAP0919,ROLE037,SK010,Low,Beginner,No,19
MAP0920,ROLE037,SK011,Low,Beginner,No,20
MAP0921,ROLE037,SK012,Low,Beginner,No,21
MAP0922,ROLE037,SK013,Low,Beginner,No,22
MAP0923,ROLE037,SK014,Low,Beginner,No,23
MAP0924,ROLE037,SK015,Low,Beginner,No,24
MAP0925,ROLE037,SK016,Low,Beginner,No,25
MAP0926,ROLE038,SK015,High,Intermediate,Yes,1
MAP0927,ROLE038,SK016,High,Intermediate,Yes,2
MAP0928,ROLE038,SK017,High,Intermediate,Yes,3
MAP0929,ROLE038,SK018,High,Intermediate,Yes,4
MAP0930,ROLE038,SK019,High,Intermediate,Yes,5
MAP0931,ROLE038,SK020,Medium,Beginner,Yes,6
MAP0932,ROLE038,SK021,Medium,Beginner,Yes,7
MAP0933,ROLE038,SK022,Medium,Beginner,Yes,8
MAP0934,ROLE038,SK023,Medium,Beginner,Yes,9
MAP0935,ROLE038,SK024,Medium,Beginner,Yes,10
MAP0936,ROLE038,SK025,Medium,Beginner,Yes,11
MAP0937,ROLE038,SK026,Medium,Beginner,Yes,12
MAP0938,ROLE038,SK027,Medium,Beginner,Yes,13
MAP0939,ROLE038,SK028,Medium,Beginner,Yes,14
MAP0940,ROLE038,SK029,Medium,Beginner,Yes,15
