question_id,role_id,skill_id,question,difficulty,question_type,expected_answer,keywords,company_level
Q00598,ROLE019,SK138,Explain the fundamentals of skill SK138 for ROLE019.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK138.","SK138, fundamentals, implementation, best practices",Startup
Q00599,ROLE019,SK139,Explain the fundamentals of skill SK139 for ROLE019.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK139.","SK139, fundamentals, implementation, best practices",Mid-size
Q00600,ROLE019,SK140,Explain the fundamentals of skill SK140 for ROLE019.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK140.","SK140, fundamentals, implementation, best practices",MNC
Q00601,ROLE019,SK141,Explain the fundamentals of skill SK141 for ROLE019.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK141.","SK141, fundamentals, implementation, best practices",FAANG
Q00602,ROLE019,SK142,Explain the fundamentals of skill SK142 for ROLE019.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK142.","SK142, fundamentals, implementation, best practices",Startup
Q00603,ROLE019,SK143,Explain the fundamentals of skill SK143 for ROLE019.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK143.","SK143, fundamentals, implementation, best practices",Mid-size
Q00604,ROLE019,SK144,Explain the fundamentals of skill SK144 for ROLE019.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK144.","SK144, fundamentals, implementation, best practices",MNC
Q00605,ROLE019,SK145,Explain the fundamentals of skill SK145 for ROLE019.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK145.","SK145, fundamentals, implementation, best practices",FAANG
Q00606,ROLE019,SK146,Explain the fundamentals of skill SK146 for ROLE019.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK146.","SK146, fundamentals, implementation, best practices",Startup
Q00607,ROLE019,SK147,Explain the fundamentals of skill SK147 for ROLE019.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK147.","SK147, fundamentals, implementation, best practices",Mid-size
Q00608,ROLE019,SK148,Explain the fundamentals of skill SK148 for ROLE019.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK148.","SK148, fundamentals, implementation, best practices",MNC
Q00609,ROLE019,SK149,Explain the fundamentals of skill SK149 for ROLE019.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK149.","SK149, fundamentals, implementation, best practices",FAANG
Q00610,ROLE019,SK150,Explain the fundamentals of skill SK150 for ROLE019.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK150.","SK150, fundamentals, implementation, best practices",Startup
Q00611,ROLE019,SK151,Explain the fundamentals of skill SK151 for ROLE019.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK151.","SK151, fundamentals, implementation, best practices",Mid-size
Q00612,ROLE019,SK152,Explain the fundamentals of skill SK152 for ROLE019.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK152.","SK152, fundamentals, implementation, best practices",MNC
Q00613,ROLE019,SK153,Explain the fundamentals of skill SK153 for ROLE019.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK153.","SK153, fundamentals, implementation, best practices",FAANG
Q00614,ROLE019,SK154,Explain the fundamentals of skill SK154 for ROLE019.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK154.","SK154, fundamentals, implementation, best practices",Startup
Q00615,ROLE019,SK155,Explain the fundamentals of skill SK155 for ROLE019.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK155.","SK155, fundamentals, implementation, best practices",Mid-size
Q00616,ROLE019,SK156,Explain the fundamentals of skill SK156 for ROLE019.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK156.","SK156, fundamentals, implementation, best practices",MNC
Q00617,ROLE019,SK157,Explain the fundamentals of skill SK157 for ROLE019.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK157.","SK157, fundamentals, implementation, best practices",FAANG
Q00618,ROLE019,SK158,Explain the fundamentals of skill SK158 for ROLE019.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK158.","SK158, fundamentals, implementation, best practices",Startup
Q00619,ROLE019,SK159,Explain the fundamentals of skill SK159 for ROLE019.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK159.","SK159, fundamentals, implementation, best practices",Mid-size
Q00620,ROLE019,SK160,Explain the fundamentals of skill SK160 for ROLE019.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK160.","SK160, fundamentals, implementation, best practices",MNC
Q00621,ROLE019,SK161,Explain the fundamentals of skill SK161 for ROLE019.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK161.","SK161, fundamentals, implementation, best practices",FAANG
Q00622,ROLE019,SK162,Explain the fundamentals of skill SK162 for ROLE019.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK162.","SK162, fundamentals, implementation, best practices",Startup
Q00623,ROLE019,SK163,Explain the fundamentals of skill SK163 for ROLE019.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK163.","SK163, fundamentals, implementation, best practices",Mid-size
Q00624,ROLE019,SK164,Explain the fundamentals of skill SK164 for ROLE019.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK164.","SK164, fundamentals, implementation, best practices",MNC
Q00625,ROLE019,SK165,Explain the fundamentals of skill SK165 for ROLE019.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK165.","SK165, fundamentals, implementation, best practices",FAANG
Q00626,ROLE019,SK166,Explain the fundamentals of skill SK166 for ROLE019.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK166.","SK166, fundamentals, implementation, best practices",Startup
Q00627,ROLE019,SK167,Explain the fundamentals of skill SK167 for ROLE019.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK167.","SK167, fundamentals, implementation, best practices",Mid-size
Q00628,ROLE020,SK142,Explain the fundamentals of skill SK142 for ROLE020.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK142.","SK142, fundamentals, implementation, best practices",Mid-size
Q00629,ROLE020,SK143,Explain the fundamentals of skill SK143 for ROLE020.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK143.","SK143, fundamentals, implementation, best practices",MNC
Q00630,ROLE020,SK144,Explain the fundamentals of skill SK144 for ROLE020.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK144.","SK144, fundamentals, implementation, best practices",FAANG
Q00631,ROLE020,SK145,Explain the fundamentals of skill SK145 for ROLE020.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK145.","SK145, fundamentals, implementation, best practices",Startup
Q00632,ROLE020,SK146,Explain the fundamentals of skill SK146 for ROLE020.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK146.","SK146, fundamentals, implementation, best practices",Mid-size
Q00633,ROLE020,SK147,Explain the fundamentals of skill SK147 for ROLE020.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK147.","SK147, fundamentals, implementation, best practices",MNC
Q00634,ROLE020,SK148,Explain the fundamentals of skill SK148 for ROLE020.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK148.","SK148, fundamentals, implementation, best practices",FAANG
Q00635,ROLE020,SK149,Explain the fundamentals of skill SK149 for ROLE020.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK149.","SK149, fundamentals, implementation, best practices",Startup
Q00636,ROLE020,SK150,Explain the fundamentals of skill SK150 for ROLE020.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK150.","SK150, fundamentals, implementation, best practices",Mid-size
Q00637,ROLE020,SK151,Explain the fundamentals of skill SK151 for ROLE020.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK151.","SK151, fundamentals, implementation, best practices",MNC
Q00638,ROLE020,SK152,Explain the fundamentals of skill SK152 for ROLE020.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK152.","SK152, fundamentals, implementation, best practices",FAANG
Q00639,ROLE020,SK153,Explain the fundamentals of skill SK153 for ROLE020.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK153.","SK153, fundamentals, implementation, best practices",Startup
Q00640,ROLE020,SK154,Explain the fundamentals of skill SK154 for ROLE020.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK154.","SK154, fundamentals, implementation, best practices",Mid-size
Q00641,ROLE020,SK155,Explain the fundamentals of skill SK155 for ROLE020.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK155.","SK155, fundamentals, implementation, best practices",MNC
Q00642,ROLE020,SK156,Explain the fundamentals of skill SK156 for ROLE020.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK156.","SK156, fundamentals, implementation, best practices",FAANG
Q00643,ROLE020,SK157,Explain the fundamentals of skill SK157 for ROLE020.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK157.","SK157, fundamentals, implementation, best practices",Startup
Q00644,ROLE020,SK158,Explain the fundamentals of skill SK158 for ROLE020.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK158.","SK158, fundamentals, implementation, best practices",Mid-size
Q00645,ROLE020,SK159,Explain the fundamentals of skill SK159 for ROLE020.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK159.","SK159, fundamentals, implementation, best practices",MNC
Q00646,ROLE020,SK160,Explain the fundamentals of skill SK160 for ROLE020.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK160.","SK160, fundamentals, implementation, best practices",FAANG
Q00647,ROLE020,SK161,Explain the fundamentals of skill SK161 for ROLE020.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK161.","SK161, fundamentals, implementation, best practices",Startup
Q00648,ROLE020,SK162,Explain the fundamentals of skill SK162 for ROLE020.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK162.","SK162, fundamentals, implementation, best practices",Mid-size
Q00649,ROLE020,SK163,Explain the fundamentals of skill SK163 for ROLE020.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK163.","SK163, fundamentals, implementation, best practices",MNC
Q00650,ROLE020,SK164,Explain the fundamentals of skill SK164 for ROLE020.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK164.","SK164, fundamentals, implementation, best practices",FAANG
Q00651,ROLE020,SK165,Explain the fundamentals of skill SK165 for ROLE020.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK165.","SK165, fundamentals, implementation, best practices",Startup
Q00652,ROLE020,SK166,Explain the fundamentals of skill SK166 for ROLE020.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK166.","SK166, fundamentals, implementation, best practices",Mid-size
Q00653,ROLE020,SK167,Explain the fundamentals of skill SK167 for ROLE020.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK167.","SK167, fundamentals, implementation, best practices",MNC
Q00654,ROLE020,SK168,Explain the fundamentals of skill SK168 for ROLE020.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK168.","SK168, fundamentals, implementation, best practices",FAANG
Q00655,ROLE020,SK169,Explain the fundamentals of skill SK169 for ROLE020.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK169.","SK169, fundamentals, implementation, best practices",Startup
Q00656,ROLE020,SK170,Explain the fundamentals of skill SK170 for ROLE020.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK170.","SK170, fundamentals, implementation, best practices",Mid-size
Q00657,ROLE020,SK171,Explain the fundamentals of skill SK171 for ROLE020.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK171.","SK171, fundamentals, implementation, best practices",MNC
Q00658,ROLE020,SK172,Explain the fundamentals of skill SK172 for ROLE020.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK172.","SK172, fundamentals, implementation, best practices",FAANG
Q00659,ROLE020,SK173,Explain the fundamentals of skill SK173 for ROLE020.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK173.","SK173, fundamentals, implementation, best practices",Startup
Q00660,ROLE020,SK174,Explain the fundamentals of skill SK174 for ROLE020.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK174.","SK174, fundamentals, implementation, best practices",Mid-size
Q00661,ROLE021,SK149,Explain the fundamentals of skill SK149 for ROLE021.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK149.","SK149, fundamentals, implementation, best practices",Mid-size
Q00662,ROLE021,SK150,Explain the fundamentals of skill SK150 for ROLE021.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK150.","SK150, fundamentals, implementation, best practices",MNC
Q00663,ROLE021,SK151,Explain the fundamentals of skill SK151 for ROLE021.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK151.","SK151, fundamentals, implementation, best practices",FAANG
Q00664,ROLE021,SK152,Explain the fundamentals of skill SK152 for ROLE021.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK152.","SK152, fundamentals, implementation, best practices",Startup
Q00665,ROLE021,SK153,Explain the fundamentals of skill SK153 for ROLE021.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK153.","SK153, fundamentals, implementation, best practices",Mid-size
Q00666,ROLE021,SK154,Explain the fundamentals of skill SK154 for ROLE021.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK154.","SK154, fundamentals, implementation, best practices",MNC
Q00667,ROLE021,SK155,Explain the fundamentals of skill SK155 for ROLE021.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK155.","SK155, fundamentals, implementation, best practices",FAANG
Q00668,ROLE021,SK156,Explain the fundamentals of skill SK156 for ROLE021.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK156.","SK156, fundamentals, implementation, best practices",Startup
Q00669,ROLE021,SK157,Explain the fundamentals of skill SK157 for ROLE021.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK157.","SK157, fundamentals, implementation, best practices",Mid-size
Q00670,ROLE021,SK158,Explain the fundamentals of skill SK158 for ROLE021.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK158.","SK158, fundamentals, implementation, best practices",MNC
Q00671,ROLE021,SK159,Explain the fundamentals of skill SK159 for ROLE021.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK159.","SK159, fundamentals, implementation, best practices",FAANG
Q00672,ROLE021,SK160,Explain the fundamentals of skill SK160 for ROLE021.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK160.","SK160, fundamentals, implementation, best practices",Startup
Q00673,ROLE021,SK161,Explain the fundamentals of skill SK161 for ROLE021.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK161.","SK161, fundamentals, implementation, best practices",Mid-size
Q00674,ROLE021,SK162,Explain the fundamentals of skill SK162 for ROLE021.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK162.","SK162, fundamentals, implementation, best practices",MNC
Q00675,ROLE021,SK163,Explain the fundamentals of skill SK163 for ROLE021.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK163.","SK163, fundamentals, implementation, best practices",FAANG
Q00676,ROLE021,SK164,Explain the fundamentals of skill SK164 for ROLE021.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK164.","SK164, fundamentals, implementation, best practices",Startup
Q00677,ROLE021,SK165,Explain the fundamentals of skill SK165 for ROLE021.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK165.","SK165, fundamentals, implementation, best practices",Mid-size
Q00678,ROLE021,SK166,Explain the fundamentals of skill SK166 for ROLE021.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK166.","SK166, fundamentals, implementation, best practices",MNC
Q00679,ROLE021,SK167,Explain the fundamentals of skill SK167 for ROLE021.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK167.","SK167, fundamentals, implementation, best practices",FAANG
Q00680,ROLE021,SK168,Explain the fundamentals of skill SK168 for ROLE021.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK168.","SK168, fundamentals, implementation, best practices",Startup
Q00681,ROLE021,SK169,Explain the fundamentals of skill SK169 for ROLE021.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK169.","SK169, fundamentals, implementation, best practices",Mid-size
Q00682,ROLE021,SK170,Explain the fundamentals of skill SK170 for ROLE021.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK170.","SK170, fundamentals, implementation, best practices",MNC
Q00683,ROLE021,SK171,Explain the fundamentals of skill SK171 for ROLE021.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK171.","SK171, fundamentals, implementation, best practices",FAANG
Q00684,ROLE021,SK172,Explain the fundamentals of skill SK172 for ROLE021.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK172.","SK172, fundamentals, implementation, best practices",Startup
Q00685,ROLE021,SK173,Explain the fundamentals of skill SK173 for ROLE021.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK173.","SK173, fundamentals, implementation, best practices",Mid-size
Q00686,ROLE021,SK174,Explain the fundamentals of skill SK174 for ROLE021.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK174.","SK174, fundamentals, implementation, best practices",MNC
Q00687,ROLE021,SK175,Explain the fundamentals of skill SK175 for ROLE021.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK175.","SK175, fundamentals, implementation, best practices",FAANG
Q00688,ROLE021,SK176,Explain the fundamentals of skill SK176 for ROLE021.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK176.","SK176, fundamentals, implementation, best practices",Startup
Q00689,ROLE021,SK177,Explain the fundamentals of skill SK177 for ROLE021.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK177.","SK177, fundamentals, implementation, best practices",Mid-size
Q00690,ROLE021,SK178,Explain the fundamentals of skill SK178 for ROLE021.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK178.","SK178, fundamentals, implementation, best practices",MNC
Q00691,ROLE021,SK179,Explain the fundamentals of skill SK179 for ROLE021.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK179.","SK179, fundamentals, implementation, best practices",FAANG
Q00692,ROLE021,SK180,Explain the fundamentals of skill SK180 for ROLE021.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK180.","SK180, fundamentals, implementation, best practices",Startup
Q00693,ROLE021,SK181,Explain the fundamentals of skill SK181 for ROLE021.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK181.","SK181, fundamentals, implementation, best practices",Mid-size
Q00694,ROLE022,SK156,Explain the fundamentals of skill SK156 for ROLE022.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK156.","SK156, fundamentals, implementation, best practices",Mid-size
Q00695,ROLE022,SK157,Explain the fundamentals of skill SK157 for ROLE022.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK157.","SK157, fundamentals, implementation, best practices",MNC
Q00696,ROLE022,SK158,Explain the fundamentals of skill SK158 for ROLE022.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK158.","SK158, fundamentals, implementation, best practices",FAANG
Q00697,ROLE022,SK159,Explain the fundamentals of skill SK159 for ROLE022.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK159.","SK159, fundamentals, implementation, best practices",Startup
Q00698,ROLE022,SK160,Explain the fundamentals of skill SK160 for ROLE022.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK160.","SK160, fundamentals, implementation, best practices",Mid-size
Q00699,ROLE022,SK161,Explain the fundamentals of skill SK161 for ROLE022.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK161.","SK161, fundamentals, implementation, best practices",MNC
Q00700,ROLE022,SK162,Explain the fundamentals of skill SK162 for ROLE022.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK162.","SK162, fundamentals, implementation, best practices",FAANG
Q00701,ROLE022,SK163,Explain the fundamentals of skill SK163 for ROLE022.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK163.","SK163, fundamentals, implementation, best practices",Startup
Q00702,ROLE022,SK164,Explain the fundamentals of skill SK164 for ROLE022.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK164.","SK164, fundamentals, implementation, best practices",Mid-size
Q00703,ROLE022,SK165,Explain the fundamentals of skill SK165 for ROLE022.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK165.","SK165, fundamentals, implementation, best practices",MNC
Q00704,ROLE022,SK166,Explain the fundamentals of skill SK166 for ROLE022.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK166.","SK166, fundamentals, implementation, best practices",FAANG
Q00705,ROLE022,SK167,Explain the fundamentals of skill SK167 for ROLE022.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK167.","SK167, fundamentals, implementation, best practices",Startup
Q00706,ROLE022,SK168,Explain the fundamentals of skill SK168 for ROLE022.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK168.","SK168, fundamentals, implementation, best practices",Mid-size
Q00707,ROLE022,SK169,Explain the fundamentals of skill SK169 for ROLE022.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK169.","SK169, fundamentals, implementation, best practices",MNC
Q00708,ROLE022,SK170,Explain the fundamentals of skill SK170 for ROLE022.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK170.","SK170, fundamentals, implementation, best practices",FAANG
Q00709,ROLE022,SK171,Explain the fundamentals of skill SK171 for ROLE022.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK171.","SK171, fundamentals, implementation, best practices",Startup
Q00710,ROLE022,SK172,Explain the fundamentals of skill SK172 for ROLE022.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK172.","SK172, fundamentals, implementation, best practices",Mid-size
Q00711,ROLE022,SK173,Explain the fundamentals of skill SK173 for ROLE022.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK173.","SK173, fundamentals, implementation, best practices",MNC
Q00712,ROLE022,SK174,Explain the fundamentals of skill SK174 for ROLE022.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK174.","SK174, fundamentals, implementation, best practices",FAANG
Q00713,ROLE022,SK175,Explain the fundamentals of skill SK175 for ROLE022.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK175.","SK175, fundamentals, implementation, best practices",Startup
Q00714,ROLE022,SK176,Explain the fundamentals of skill SK176 for ROLE022.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK176.","SK176, fundamentals, implementation, best practices",Mid-size
Q00715,ROLE022,SK177,Explain the fundamentals of skill SK177 for ROLE022.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK177.","SK177, fundamentals, implementation, best practices",MNC
Q00716,ROLE022,SK178,Explain the fundamentals of skill SK178 for ROLE022.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK178.","SK178, fundamentals, implementation, best practices",FAANG
Q00717,ROLE022,SK179,Explain the fundamentals of skill SK179 for ROLE022.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK179.","SK179, fundamentals, implementation, best practices",Startup
Q00718,ROLE022,SK180,Explain the fundamentals of skill SK180 for ROLE022.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK180.","SK180, fundamentals, implementation, best practices",Mid-size
Q00719,ROLE022,SK181,Explain the fundamentals of skill SK181 for ROLE022.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK181.","SK181, fundamentals, implementation, best practices",MNC
Q00720,ROLE022,SK182,Explain the fundamentals of skill SK182 for ROLE022.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK182.","SK182, fundamentals, implementation, best practices",FAANG
Q00721,ROLE022,SK183,Explain the fundamentals of skill SK183 for ROLE022.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK183.","SK183, fundamentals, implementation, best practices",Startup
Q00722,ROLE022,SK184,Explain the fundamentals of skill SK184 for ROLE022.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK184.","SK184, fundamentals, implementation, best practices",Mid-size
Q00723,ROLE022,SK185,Explain the fundamentals of skill SK185 for ROLE022.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK185.","SK185, fundamentals, implementation, best practices",MNC
Q00724,ROLE022,SK186,Explain the fundamentals of skill SK186 for ROLE022.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK186.","SK186, fundamentals, implementation, best practices",FAANG
Q00725,ROLE022,SK187,Explain the fundamentals of skill SK187 for ROLE022.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK187.","SK187, fundamentals, implementation, best practices",Startup
Q00726,ROLE022,SK188,Explain the fundamentals of skill SK188 for ROLE022.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK188.","SK188, fundamentals, implementation, best practices",Mid-size
