project_id,project_name,project_domain,difficulty,estimated_duration,description,required_skills,github_available,dataset_required,portfolio_value,related_role
PROJ0172,Data Science Project 172,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK172, SK177, SK187",Yes,Yes,High,ROLE052
PROJ0173,Web Development Project 173,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK173, SK178, SK188",Yes,No,Very High,ROLE053
PROJ0174,Cloud Project 174,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK174, SK179, SK189",Yes,No,Medium,ROLE054
PROJ0175,Cyber Security Project 175,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK175, SK180, SK190",Yes,No,High,ROLE055
PROJ0176,Mobile Project 176,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK176, SK181, SK191",Yes,No,Very High,ROLE056
PROJ0177,DevOps Project 177,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK177, SK182, SK192",Yes,No,Medium,ROLE057
PROJ0178,IoT Project 178,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK178, SK183, SK193",Yes,No,High,ROLE058
PROJ0179,Blockchain Project 179,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK179, SK184, SK194",Yes,No,Very High,ROLE059
PROJ0180,UI/UX Project 180,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK180, SK185, SK195",Yes,No,Medium,ROLE060
PROJ0181,AI Project 181,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK181, SK186, SK196",Yes,Yes,High,ROLE001
PROJ0182,Data Science Project 182,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK182, SK187, SK197",Yes,Yes,Very High,ROLE002
PROJ0183,Web Development Project 183,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK183, SK188, SK198",Yes,No,Medium,ROLE003
PROJ0184,Cloud Project 184,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK184, SK189, SK199",Yes,No,High,ROLE004
PROJ0185,Cyber Security Project 185,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK185, SK190, SK200",Yes,No,Very High,ROLE005
PROJ0186,Mobile Project 186,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK186, SK191, SK201",Yes,No,Medium,ROLE006
PROJ0187,DevOps Project 187,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK187, SK192, SK202",Yes,No,High,ROLE007
PROJ0188,IoT Project 188,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK188, SK193, SK203",Yes,No,Very High,ROLE008
PROJ0189,Blockchain Project 189,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK189, SK194, SK204",Yes,No,Medium,ROLE009
PROJ0190,UI/UX Project 190,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK190, SK195, SK205",Yes,No,High,ROLE010
PROJ0191,AI Project 191,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK191, SK196, SK206",Yes,Yes,Very High,ROLE011
PROJ0192,Data Science Project 192,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK192, SK197, SK207",Yes,Yes,Medium,ROLE012
PROJ0193,Web Development Project 193,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK193, SK198, SK208",Yes,No,High,ROLE013
PROJ0194,Cloud Project 194,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK194, SK199, SK209",Yes,No,Very High,ROLE014
PROJ0195,Cyber Security Project 195,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK195, SK200, SK210",Yes,No,Medium,ROLE015
PROJ0196,Mobile Project 196,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK196, SK201, SK211",Yes,No,High,ROLE016
PROJ0197,DevOps Project 197,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK197, SK202, SK212",Yes,No,Very High,ROLE017
PROJ0198,IoT Project 198,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK198, SK203, SK213",Yes,No,Medium,ROLE018
PROJ0199,Blockchain Project 199,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK199, SK204, SK214",Yes,No,High,ROLE019
PROJ0200,UI/UX Project 200,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK200, SK205, SK215",Yes,No,Very High,ROLE020
PROJ0201,AI Project 201,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK201, SK206, SK216",Yes,Yes,Medium,ROLE021
PROJ0202,Data Science Project 202,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK202, SK207, SK217",Yes,Yes,High,ROLE022
PROJ0203,Web Development Project 203,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK203, SK208, SK218",Yes,No,Very High,ROLE023
PROJ0204,Cloud Project 204,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK204, SK209, SK219",Yes,No,Medium,ROLE024
PROJ0205,Cyber Security Project 205,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK205, SK210, SK220",Yes,No,High,ROLE025
PROJ0206,Mobile Project 206,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK206, SK211, SK221",Yes,No,Very High,ROLE026
PROJ0207,DevOps Project 207,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK207, SK212, SK222",Yes,No,Medium,ROLE027
PROJ0208,IoT Project 208,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK208, SK213, SK223",Yes,No,High,ROLE028
PROJ0209,Blockchain Project 209,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK209, SK214, SK224",Yes,No,Very High,ROLE029
PROJ0210,UI/UX Project 210,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK210, SK215, SK225",Yes,No,Medium,ROLE030
PROJ0211,AI Project 211,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK211, SK216, SK226",Yes,Yes,High,ROLE031
PROJ0212,Data Science Project 212,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK212, SK217, SK227",Yes,Yes,Very High,ROLE032
PROJ0213,Web Development Project 213,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK213, SK218, SK228",Yes,No,Medium,ROLE033
PROJ0214,Cloud Project 214,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK214, SK219, SK229",Yes,No,High,ROLE034
PROJ0215,Cyber Security Project 215,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK215, SK220, SK230",Yes,No,Very High,ROLE035
PROJ0216,Mobile Project 216,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK216, SK221, SK231",Yes,No,Medium,ROLE036
PROJ0217,DevOps Project 217,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK217, SK222, SK232",Yes,No,High,ROLE037
PROJ0218,IoT Project 218,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK218, SK223, SK233",Yes,No,Very High,ROLE038
PROJ0219,Blockchain Project 219,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK219, SK224, SK234",Yes,No,Medium,ROLE039
PROJ0220,UI/UX Project 220,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK220, SK225, SK235",Yes,No,High,ROLE040
PROJ0221,AI Project 221,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK221, SK226, SK236",Yes,Yes,Very High,ROLE041
PROJ0222,Data Science Project 222,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK222, SK227, SK237",Yes,Yes,Medium,ROLE042
PROJ0223,Web Development Project 223,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK223, SK228, SK238",Yes,No,High,ROLE043
PROJ0224,Cloud Project 224,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK224, SK229, SK239",Yes,No,Very High,ROLE044
PROJ0225,Cyber Security Project 225,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK225, SK230, SK240",Yes,No,Medium,ROLE045
PROJ0226,Mobile Project 226,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK226, SK231, SK241",Yes,No,High,ROLE046
PROJ0227,DevOps Project 227,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK227, SK232, SK242",Yes,No,Very High,ROLE047
PROJ0228,IoT Project 228,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK228, SK233, SK243",Yes,No,Medium,ROLE048
PROJ0229,Blockchain Project 229,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK229, SK234, SK244",Yes,No,High,ROLE049
PROJ0230,UI/UX Project 230,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK230, SK235, SK245",Yes,No,Very High,ROLE050
PROJ0231,AI Project 231,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK231, SK236, SK246",Yes,Yes,Medium,ROLE051
PROJ0232,Data Science Project 232,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK232, SK237, SK247",Yes,Yes,High,ROLE052
PROJ0233,Web Development Project 233,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK233, SK238, SK248",Yes,No,Very High,ROLE053
PROJ0234,Cloud Project 234,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK234, SK239, SK249",Yes,No,Medium,ROLE054
PROJ0235,Cyber Security Project 235,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK235, SK240, SK250",Yes,No,High,ROLE055
PROJ0236,Mobile Project 236,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK236, SK241, SK251",Yes,No,Very High,ROLE056
PROJ0237,DevOps Project 237,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK237, SK242, SK252",Yes,No,Medium,ROLE057
PROJ0238,IoT Project 238,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK238, SK243, SK253",Yes,No,High,ROLE058
PROJ0239,Blockchain Project 239,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK239, SK244, SK254",Yes,No,Very High,ROLE059
PROJ0240,UI/UX Project 240,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK240, SK245, SK255",Yes,No,Medium,ROLE060
PROJ0241,AI Project 241,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK241, SK246, SK256",Yes,Yes,High,ROLE001
PROJ0242,Data Science Project 242,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK242, SK247, SK257",Yes,Yes,Very High,ROLE002
PROJ0243,Web Development Project 243,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK243, SK248, SK258",Yes,No,Medium,ROLE003
PROJ0244,Cloud Project 244,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK244, SK249, SK259",Yes,No,High,ROLE004
PROJ0245,Cyber Security Project 245,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK245, SK250, SK260",Yes,No,Very High,ROLE005
PROJ0246,Mobile Project 246,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK246, SK251, SK261",Yes,No,Medium,ROLE006
PROJ0247,DevOps Project 247,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK247, SK252, SK262",Yes,No,High,ROLE007
PROJ0248,IoT Project 248,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK248, SK253, SK263",Yes,No,Very High,ROLE008
PROJ0249,Blockchain Project 249,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK249, SK254, SK264",Yes,No,Medium,ROLE009
PROJ0250,UI/UX Project 250,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK250, SK255, SK265",Yes,No,High,ROLE010
PROJ0251,AI Project 251,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK251, SK256, SK266",Yes,Yes,Very High,ROLE011
PROJ0252,Data Science Project 252,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK252, SK257, SK267",Yes,Yes,Medium,ROLE012
PROJ0253,Web Development Project 253,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK253, SK258, SK268",Yes,No,High,ROLE013
PROJ0254,Cloud Project 254,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK254, SK259, SK269",Yes,No,Very High,ROLE014
PROJ0255,Cyber Security Project 255,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK255, SK260, SK270",Yes,No,Medium,ROLE015
PROJ0256,Mobile Project 256,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK256, SK261, SK271",Yes,No,High,ROLE016
PROJ0257,DevOps Project 257,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK257, SK262, SK272",Yes,No,Very High,ROLE017
PROJ0258,IoT Project 258,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK258, SK263, SK273",Yes,No,Medium,ROLE018
PROJ0259,Blockchain Project 259,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK259, SK264, SK274",Yes,No,High,ROLE019
PROJ0260,UI/UX Project 260,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK260, SK265, SK275",Yes,No,Very High,ROLE020
PROJ0261,AI Project 261,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK261, SK266, SK276",Yes,Yes,Medium,ROLE021
PROJ0262,Data Science Project 262,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK262, SK267, SK277",Yes,Yes,High,ROLE022
PROJ0263,Web Development Project 263,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK263, SK268, SK278",Yes,No,Very High,ROLE023
PROJ0264,Cloud Project 264,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK264, SK269, SK279",Yes,No,Medium,ROLE024
PROJ0265,Cyber Security Project 265,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK265, SK270, SK001",Yes,No,High,ROLE025
PROJ0266,Mobile Project 266,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK266, SK271, SK002",Yes,No,Very High,ROLE026
PROJ0267,DevOps Project 267,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK267, SK272, SK003",Yes,No,Medium,ROLE027
PROJ0268,IoT Project 268,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK268, SK273, SK004",Yes,No,High,ROLE028
PROJ0269,Blockchain Project 269,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK269, SK274, SK005",Yes,No,Very High,ROLE029
PROJ0270,UI/UX Project 270,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK270, SK275, SK006",Yes,No,Medium,ROLE030
PROJ0271,AI Project 271,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK271, SK276, SK007",Yes,Yes,High,ROLE031
PROJ0272,Data Science Project 272,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK272, SK277, SK008",Yes,Yes,Very High,ROLE032
PROJ0273,Web Development Project 273,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK273, SK278, SK009",Yes,No,Medium,ROLE033
PROJ0274,Cloud Project 274,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK274, SK279, SK010",Yes,No,High,ROLE034
PROJ0275,Cyber Security Project 275,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK275, SK001, SK011",Yes,No,Very High,ROLE035
PROJ0276,Mobile Project 276,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK276, SK002, SK012",Yes,No,Medium,ROLE036
PROJ0277,DevOps Project 277,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK277, SK003, SK013",Yes,No,High,ROLE037
PROJ0278,IoT Project 278,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK278, SK004, SK014",Yes,No,Very High,ROLE038
PROJ0279,Blockchain Project 279,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK279, SK005, SK015",Yes,No,Medium,ROLE039
PROJ0280,UI/UX Project 280,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK001, SK006, SK016",Yes,No,High,ROLE040
PROJ0281,AI Project 281,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK002, SK007, SK017",Yes,Yes,Very High,ROLE041
PROJ0282,Data Science Project 282,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK003, SK008, SK018",Yes,Yes,Medium,ROLE042
PROJ0283,Web Development Project 283,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK004, SK009, SK019",Yes,No,High,ROLE043
PROJ0284,Cloud Project 284,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK005, SK010, SK020",Yes,No,Very High,ROLE044
PROJ0285,Cyber Security Project 285,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK006, SK011, SK021",Yes,No,Medium,ROLE045
PROJ0286,Mobile Project 286,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK007, SK012, SK022",Yes,No,High,ROLE046
PROJ0287,DevOps Project 287,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK008, SK013, SK023",Yes,No,Very High,ROLE047
PROJ0288,IoT Project 288,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK009, SK014, SK024",Yes,No,Medium,ROLE048
PROJ0289,Blockchain Project 289,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK010, SK015, SK025",Yes,No,High,ROLE049
PROJ0290,UI/UX Project 290,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK011, SK016, SK026",Yes,No,Very High,ROLE050
PROJ0291,AI Project 291,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK012, SK017, SK027",Yes,Yes,Medium,ROLE051
PROJ0292,Data Science Project 292,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK013, SK018, SK028",Yes,Yes,High,ROLE052
PROJ0293,Web Development Project 293,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK014, SK019, SK029",Yes,No,Very High,ROLE053
PROJ0294,Cloud Project 294,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK015, SK020, SK030",Yes,No,Medium,ROLE054
PROJ0295,Cyber Security Project 295,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK016, SK021, SK031",Yes,No,High,ROLE055
PROJ0296,Mobile Project 296,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK017, SK022, SK032",Yes,No,Very High,ROLE056
PROJ0297,DevOps Project 297,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK018, SK023, SK033",Yes,No,Medium,ROLE057
PROJ0298,IoT Project 298,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK019, SK024, SK034",Yes,No,High,ROLE058
PROJ0299,Blockchain Project 299,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK020, SK025, SK035",Yes,No,Very High,ROLE059
PROJ0300,UI/UX Project 300,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK021, SK026, SK036",Yes,No,Medium,ROLE060
PROJ0301,AI Project 301,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK022, SK027, SK037",Yes,Yes,High,ROLE001
PROJ0302,Data Science Project 302,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK023, SK028, SK038",Yes,Yes,Very High,ROLE002
PROJ0303,Web Development Project 303,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK024, SK029, SK039",Yes,No,Medium,ROLE003
PROJ0304,Cloud Project 304,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK025, SK030, SK040",Yes,No,High,ROLE004
PROJ0305,Cyber Security Project 305,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK026, SK031, SK041",Yes,No,Very High,ROLE005
PROJ0306,Mobile Project 306,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK027, SK032, SK042",Yes,No,Medium,ROLE006
PROJ0307,DevOps Project 307,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK028, SK033, SK043",Yes,No,High,ROLE007
PROJ0308,IoT Project 308,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK029, SK034, SK044",Yes,No,Very High,ROLE008
PROJ0309,Blockchain Project 309,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK030, SK035, SK045",Yes,No,Medium,ROLE009
PROJ0310,UI/UX Project 310,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK031, SK036, SK046",Yes,No,High,ROLE010
PROJ0311,AI Project 311,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK032, SK037, SK047",Yes,Yes,Very High,ROLE011
PROJ0312,Data Science Project 312,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK033, SK038, SK048",Yes,Yes,Medium,ROLE012
PROJ0313,Web Development Project 313,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK034, SK039, SK049",Yes,No,High,ROLE013
PROJ0314,Cloud Project 314,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK035, SK040, SK050",Yes,No,Very High,ROLE014
PROJ0315,Cyber Security Project 315,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK036, SK041, SK051",Yes,No,Medium,ROLE015
PROJ0316,Mobile Project 316,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK037, SK042, SK052",Yes,No,High,ROLE016
PROJ0317,DevOps Project 317,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK038, SK043, SK053",Yes,No,Very High,ROLE017
PROJ0318,IoT Project 318,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK039, SK044, SK054",Yes,No,Medium,ROLE018
PROJ0319,Blockchain Project 319,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK040, SK045, SK055",Yes,No,High,ROLE019
PROJ0320,UI/UX Project 320,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK041, SK046, SK056",Yes,No,Very High,ROLE020
PROJ0321,AI Project 321,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK042, SK047, SK057",Yes,Yes,Medium,ROLE021
PROJ0322,Data Science Project 322,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK043, SK048, SK058",Yes,Yes,High,ROLE022
PROJ0323,Web Development Project 323,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK044, SK049, SK059",Yes,No,Very High,ROLE023
PROJ0324,Cloud Project 324,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK045, SK050, SK060",Yes,No,Medium,ROLE024
PROJ0325,Cyber Security Project 325,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK046, SK051, SK061",Yes,No,High,ROLE025
PROJ0326,Mobile Project 326,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK047, SK052, SK062",Yes,No,Very High,ROLE026
PROJ0327,DevOps Project 327,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK048, SK053, SK063",Yes,No,Medium,ROLE027
PROJ0328,IoT Project 328,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK049, SK054, SK064",Yes,No,High,ROLE028
PROJ0329,Blockchain Project 329,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK050, SK055, SK065",Yes,No,Very High,ROLE029
PROJ0330,UI/UX Project 330,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK051, SK056, SK066",Yes,No,Medium,ROLE030
PROJ0331,AI Project 331,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK052, SK057, SK067",Yes,Yes,High,ROLE031
PROJ0332,Data Science Project 332,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK053, SK058, SK068",Yes,Yes,Very High,ROLE032
PROJ0333,Web Development Project 333,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK054, SK059, SK069",Yes,No,Medium,ROLE033
PROJ0334,Cloud Project 334,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK055, SK060, SK070",Yes,No,High,ROLE034
PROJ0335,Cyber Security Project 335,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK056, SK061, SK071",Yes,No,Very High,ROLE035
PROJ0336,Mobile Project 336,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK057, SK062, SK072",Yes,No,Medium,ROLE036
PROJ0337,DevOps Project 337,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK058, SK063, SK073",Yes,No,High,ROLE037
PROJ0338,IoT Project 338,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK059, SK064, SK074",Yes,No,Very High,ROLE038
PROJ0339,Blockchain Project 339,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK060, SK065, SK075",Yes,No,Medium,ROLE039
PROJ0340,UI/UX Project 340,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK061, SK066, SK076",Yes,No,High,ROLE040
PROJ0341,AI Project 341,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK062, SK067, SK077",Yes,Yes,Very High,ROLE041
PROJ0342,Data Science Project 342,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK063, SK068, SK078",Yes,Yes,Medium,ROLE042
PROJ0343,Web Development Project 343,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK064, SK069, SK079",Yes,No,High,ROLE043
